FiscalYear,QTR,FiscalYearType,Account,Agency,OperatingUnit,BenefitingCountry,Category,Sector,Amount,Spent,Spent2
2009,1,Disbursements,Global Health & Child Survival,U.S.A.I.D,Tanzania,Tanzania,Health,Malaria," $422,348.63 ",422348.63,422348.63
2012,3,Obligations,Transition Initiatives,usaid,"USAID Democracy, Conflict and Humanitarian Assistance",Honduras,"Democracy, Human Rights, and Governance",Civil Society," $42,097.66 ",42097.66,42097.66
2013,3,Obligations,International Disaster Assistance,usaid,Colombia,Colombia,Humanitarian Assistance,Disaster Readiness," $110,000.00 ",110000,110000
2010,1,Disbsmnt.,Development Assistance,usaid,"USAID Democracy, Conflict and Humanitarian Assistance",Somalia,Humanitarian Assistance,"Protection, Assistance and Solutions"," $91,589.36 ",91589.36,91589.36
2013,2,Disbursements,N/A,usaid,"Sudan, Pre-2011 Election","Sudan, Pre-2011 Election",Education and Social Services,Higher Education," $42,967.39 ",42967.39,42967.39
2012,4,Obligations,Operating Expenses,usaid,Jordan,Worldwide,Program Management,Direct Administrative Costs," $1,680,606.00 ",1680606,1680606
2010,3,Obgl.,Global HIV/AIDS Initiative,U.S.A.I.D,Nigeria,Nigeria,Health,HIV/AIDS, $(298.59),-298.59,-298.59
2013,2,Disbursements,Economic Support Fund,usaid,Kazakhstan,Kazakhstan,Education and Social Services,Social Assistance," $90,813.00 ",90813,90813
2013,3,Obligations,N/A,usaid,Indonesia,Indonesia,Economic Development,Financial Sector," $530,052.00 ",530052,530052
2013,2,Obligations,N/A,usaid,Ukraine,Ukraine,Program Management,Direct Administrative Costs," $138,977.77 ",138977.77,138977.77
2012,4,Obligations,Child Survival and Health Programs Fund,U.S.A.I.D,Jamaica,Jamaica,Health,Family Planning and Reproductive Health, $(0.42),-.42,-.42
2012,1,Disbursements,Global Health & Child Survival,U.S.A.I.D,Kenya,Kenya,Health,Nutrition," $80,862.44 ",80862.44,80862.44
2010,3,Obgl.,N/A, MCC ,Benin,Benin,Economic Development,Financial Sector, $1.00 ,1,1
2011,3,Disbursements,"Assistance for Europe, Eurasia and Central Asia",usaid,Albania,Albania,DRG,Good Governance," $270,967.59 ",270967.59,270967.59
2010,4,Obgl.,Development Assistance,usaid,Asia Middle East Regional,Asia Region,Economic Development,Private Sector Competitiveness," $15,000.00 ",15000,15000
2012,3,Obligations,N/A, MCC ,Mozambique,Mozambique,multi-sector,Multi-Sector - Unspecified," $425,019.20 ",425019.2,425019.2
2012,1,Disbursements,Operating Expenses,usaid,USAID Administrative Costs,Worldwide,Program Management,Direct Administrative Costs," $33,260,918.59 ",33260918.59,33260918.59
2009,1,Disbursements,Development Assistance, USAID ,Bangladesh,Bangladesh,ENVIRONMENT,Clean Productive Environment," $4,745.07 ",4745.07,4745.07
2010,4,Obgl.,Operating Expenses,usaid,Namibia,Worldwide,Program Management,Direct Administrative Costs," $671,032.93 ",671032.9300000001,671032.9300000001
2013,1,Disbursements,N/A,usaid,Benin,Benin,Education and Social Services,Basic Education," $1,260,668.85 ",1260668.85,1260668.85
2011,1,Disbursements,Assist. For N.I.S Of Former Soviet Union,usaid,Russia,Russia,Program Management,Direct Administrative Costs," $14,167.64 ",14167.64,14167.64
2010,3,Obgl.,Development Assistance,usaid,India,India,Program Management,Direct Administrative Costs," $110,827.66 ",110827.66,110827.66
2012,3,Disbursements,Assist. For N.I.S Of Former Soviet Union,U.S.A.I.D,Armenia,Armenia,Health,Other Public Health Threats," $9,371.66 ",9371.66,9371.66
2009,4,Obligations,Operating Expenses, USAID ,Nepal,Worldwide,Program Management,Direct Administrative Costs," $1,256,751.29 ",1256751.29,1256751.29
2014,2,Obligations,N/A,usaid,Rwanda,Rwanda,ENVIRONMENT,Natural Resources and Biodiversity," $1,910,866.00 ",1910866,1910866
2011,4,Disbursements,Transition Initiatives,usaid,"USAID Democracy, Conflict and Humanitarian Assistance",Sri Lanka,Program Management,Direct Administrative Costs," $255,797.05 ",255797.05,255797.05
2010,4,Disbsmnt.,Assist. For N.I.S Of Former Soviet Union,usaid,Russia,Russia,Peace and Security,Transnational Crime," $65,000.00 ",65000,65000
2009,4,Obligations,Global Health & Child Survival,U.S.A.I.D,El Salvador,El Salvador,Health,Maternal and Child Health," $1,782,000.00 ",1782000,1782000
2010,2,Disbsmnt.,Assist. For N.I.S Of Former Soviet Union,usaid,Joint Eurasia Regional,Eurasia Region,"Democracy, Human Rights, and Governance",Good Governance," $1,832.54 ",1832.54,1832.54
2010,2,Disbsmnt.,"Assistance for Europe, Eurasia and Central Asia",usaid,Tajikistan,Tajikistan,Program Management,Direct Administrative Costs," $251,475.63 ",251475.63,251475.63
2013,2,Obligations,N/A,usaid,Morocco,Morocco,Economic Development,Private Sector Competitiveness," $45,000.00 ",45000,45000
2010,3,Disbsmnt.,International Disaster Assistance,usaid,"USAID Democracy, Conflict and Humanitarian Assistance",Philippines,Humanitarian Assistance,"Protection, Assistance and Solutions"," $1,819,465.80 ",1819465.8,1819465.8
2012,2,Obligations,"Assistance for Europe, Eurasia and Central Asia",usaid,Ukraine,Ukraine,Econ. Dev.,Private Sector Competitiveness," $1,426,011.00 ",1426011,1426011
2010,3,Obgl.,Economic Support Fund,usaid,Sri Lanka,Sri Lanka,Program Management,Direct Administrative Costs," $1,000,000.00 ",1000000,1000000
2012,4,Obligations,Development Assistance,usaid,Mexico,Mexico,Econ. Dev.,Economic Opportunity," $(10,643.23)",-10643.23,-10643.23
2012,2,Disbursements,Development Assistance,usaid,Colombia,Colombia,Program Management,Direct Administrative Costs," $16,425.84 ",16425.84,16425.84
2009,4,Obligations,Economic Support Fund,U.S.A.I.D,Pakistan,Pakistan,Health,Maternal and Child Health," $48,453,000.00 ",48453000,48453000
2013,1,Disbursements,N/A,usaid,Central Africa Region Program for Environment,Central Africa Region Program for Environment,Program Management,Direct Administrative Costs," $195,131.33 ",195131.33,195131.33
2014,,Obligations,N/A,IAF,Paraguay,Paraguay,,Agriculture," $143,300.00 ",143300,143300
2014,2,Obligations,Global Health & Child Survival,U.S.A.I.D,Tanzania,Tanzania,Health,Maternal and Child Health," $2,000.00 ",2000,2000
2012,4,Disbursements,Development Assistance,usaid,Office of Innovation and Development Alliances (USAID),Worldwide,Program Management,Direct Administrative Costs," $577,072.35 ",577072.35,577072.35
2010,2,Obgl.,Gifts and Donations,usaid,USAID West Africa Regional,West Africa Region,Education and Social Services,"Social Policies, Regulations, and Systems"," $174,595.50 ",174595.5,174595.5
2009,3,Obligations,International Disaster Assistance, USAID ,"USAID Democracy, Conflict and Humanitarian Assistance",Central African Republic,Humanitarian Assistance,"Protection, Assistance and Solutions"," $49,997.25 ",49997.25,49997.25
2010,4,Disbsmnt.,N/A,U.S.A.I.D,Mozambique,Mozambique,Health,Water Supply and Sanitation," $799,119.18 ",799119.1800000001,799119.1800000001
2009,2,Disbursements,Gifts and Donations, USAID ,Sri Lanka,Sri Lanka,Humanitarian Assistance,"Protection, Assistance and Solutions"," $267,306.91 ",267306.91,267306.91
2013,4,Disbursements,Commodity Credit Corp Title II and III,usaid,South Sudan,South Sudan,Humanitarian Assistance,"Protection, Assistance and Solutions"," $24,214,000.00 ",24214000,24214000
2014,2,Obligations,Economic Support Fund,usaid,Sudan,Sudan,Program Management,Direct Administrative Costs," $133,496.94 ",133496.94,133496.94
2010,4,Obgl.,Economic Support Fund,usaid,Sri Lanka,Sri Lanka,Program Management,Monitoring and Evaluation," $1,000,000.00 ",1000000,1000000
2009,4,Disbursements,Development Assistance, USAID ,"Sudan, Pre-2011 Election","Sudan, Pre-2011 Election","Democracy, Human Rights, and Governance",Good Governance," $757,021.64 ",757021.64,757021.64
2013,1,Disbursements,N/A,usaid,Sri Lanka,Sri Lanka,Program Management,Monitoring and Evaluation," $1,988.94 ",1988.94,1988.94
2012,4,Obligations,Development Assistance,usaid,USAID Middle East Regional,South Asia Region,Peace and Security,Counterterrorism," $(970,216.72)",-970216.72,-970216.72
2011,1,Obligations,Gifts and Donations,usaid,Bangladesh,Bangladesh,Economic Development,Infrastructure," $213,095.00 ",213095,213095
2012,,Disbursements,N/A,USADF,Cape Verde,Cape Verde,,Trade and Investment," $12,249.56 ",12249.56,12249.56
2010,4,Disbsmnt.,Economic Support Fund,U.S.A.I.D,"Sudan, Pre-2011 Election","Sudan, Pre-2011 Election",Health,Water Supply and Sanitation," $1,697,341.41 ",1697341.41,1697341.41
2013,3,Disbursements,N/A,usaid,Albania,Albania,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building," $3,844.73 ",3844.73,3844.73
2012,3,Disbursements,Commodity Credit Corp Title II and III,usaid,"USAID Democracy, Conflict and Humanitarian Assistance","Congo, Democratic Republic of",Humanitarian Assistance,"Protection, Assistance and Solutions"," $3,082,971.70 ",3082971.7,3082971.7
2010,4,Disbsmnt.,Development Assistance,usaid,Cameroon,Cameroon,Education and Social Services,Social Assistance," $49,670.32 ",49670.32,49670.32
2013,4,Disbursements,Global Health & Child Survival,U.S.A.I.D,Botswana,Botswana,Health,HIV/AIDS," $3,290,195.96 ",3290195.96,3290195.96
2011,3,Disbursements,N/A,usaid,Madagascar,Madagascar,Economic Development,Agriculture," $1,436,170.00 ",1436170,1436170
2014,2,Disbursements,Economic Support Fund,usaid,Haiti,Haiti,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building," $888,665.00 ",888665,888665
2012,2,Disbursements,Economic Support Fund,usaid,Liberia,Liberia,Education and Social Services,Basic Education," $3,761,649.31 ",3761649.31,3761649.31
2009,2,Disbursements,Development Assistance, USAID ,USAID Operating Expense,Worldwide,Economic Development,Private Sector Competitiveness, $535.62 ,535.62,535.62
2013,1,Obligations,N/A,PEACE CORPS,Armenia,Armenia,,Environment - General," $18,463.59 ",18463.59,18463.59
2011,2,Obligations,Commodity Credit Corp Title II and III,usaid,"USAID Economic Growth, Education and Environment",Worldwide,Economic Development,Agriculture, $-   ,,
2010,2,Disbsmnt.,Economic Support Fund,usaid,Macedonia,Macedonia,"Democracy, Human Rights, and Governance",Civil Society," $21,259.00 ",21259,21259
2010,1,Disbsmnt.,"Assistance for Europe, Eurasia and Central Asia",usaid,Georgia,Georgia,"Democracy, Human Rights, and Governance",Civil Society," $110,000.00 ",110000,110000
2013,4,Disbursements,Economic Support Fund,usaid,Indonesia,Indonesia,ENVIRONMENT,Clean Productive Environment," $7,066.00 ",7066,7066
2013,2,Disbursements,N/A,U.S.A.I.D,Tajikistan,Tajikistan,Health,Maternal and Child Health," $97,465.92 ",97465.92,97465.92
2013,3,Disbursements,Global Health & Child Survival,U.S.A.I.D,Kenya,Kenya,Health,Family Planning and Reproductive Health," $9,509,880.12 ",9509880.119999999,9509880.119999999
2012,3,Disbursements,Development Assistance,usaid,Mozambique,Mozambique,Econ. Dev.,Trade and Investment," $10,420.68 ",10420.68,10420.68
2013,,Disbursements,N/A,USADF,Ghana,Ghana,,Agriculture," $1,616.16 ",1616.16,1616.16
2012,3,Disbursements,Global Health & Child Survival,U.S.A.I.D,Bolivia,Bolivia,Health,Family Planning and Reproductive Health," $721,102.76 ",721102.76,721102.76
2014,2,Disbursements,Gifts and Donations,U.S.A.I.D,Uganda,Uganda,Health,Family Planning and Reproductive Health," $6,128,287.50 ",6128287.5,6128287.5
2011,3,Disbursements,Child Survival and Health Programs Fund,usaid,Rwanda,Rwanda,Program Management,Monitoring and Evaluation, $(18.23),-18.23,-18.23
2013,4,Disbursements,Economic Support Fund,usaid,Worldwide,Worldwide,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building," $154,674.63 ",154674.63,154674.63
2012,2,Obligations,N/A,Department of Stata,Mexico,Mexico,,Multi-Sector - Unspecified," $4,140,362.63 ",4140362.63,4140362.63
2010,,Disbsmnt.,N/A,IAF,Brazil,Brazil,,Health - General," $94,500.00 ",94500,94500
2011,4,Disbursements,International Disaster Assistance,usaid,"USAID Democracy, Conflict and Humanitarian Assistance",Central African Republic,Humanitarian Assistance,"Protection, Assistance and Solutions"," $35,024.79 ",35024.79,35024.79
2009,3,Obligations,N/A, MCC ,Morocco,Morocco,multi-sector,Multi-Sector - Unspecified," $2,156,607.01 ",2156607.01,2156607.01
2012,4,Disbursements,Development Assistance,usaid,USAID Africa Regional,Africa Region,Econ. Dev.,Trade and Investment," $138,378.39 ",138378.39,138378.39
20014,0,Disbursements,N/A,DoD,Denmark,Denmark,Peace and Security,Counterterrorism," $2,868.00 ",2868,2868
2013,1,Disbursements,Global Health & Child Survival,U.S.A.I.D,Mozambique,Mozambique,Health,Maternal and Child Health," $3,261,166.75 ",3261166.75,3261166.75
2009,4,Disbursements,Development Assistance, USAID ,Philippines,Philippines,"Democracy, Human Rights, and Governance",Good Governance," $317,799.97 ",317799.97,317799.97
2009,3,Disbursements,Assist. For N.I.S Of Former Soviet Union, USAID ,Russia,Russia,"Democracy, Human Rights, and Governance",Civil Society," $4,259,965.90 ",4259965.9,4259965.9
2009,1,Disbursements,Economic Support Fund, USAID ,USAID Regional Development Mission-Asia,East Asia Region,Program Management,Direct Administrative Costs," $10,470.21 ",10470.21,10470.21
2013,1,Disbursements,Economic Support Fund,U.S.A.I.D,Jordan,Jordan,Health,Family Planning and Reproductive Health," $4,245,672.61 ",4245672.61,4245672.61
2010,1,Disbsmnt.,Development Assistance,usaid,Asia Middle East Regional,Asia Region,"Democracy, Human Rights, and Governance",Civil Society," $68,694.62 ",68694.62,68694.62
2009,4,Obligations,Economic Support Fund, USAID ,Timor-Leste,Timor-Leste,Program Management,Direct Administrative Costs," $71,831.21 ",71831.21000000001,71831.21000000001
2012,1,Disbursements,Global HIV/AIDS Initiative,U.S.A.I.D,USAID Global Health,Zimbabwe,Health,HIV/AIDS," $(1,759.94)",-1759.94,-1759.94
2010,4,Disbsmnt.,Development Fund for Africa,usaid,USAID Africa Regional,Africa Region,Economic Development,Agriculture," $6,209.76 ",6209.76,6209.76
2011,4,Disbursements,N/A,usaid,Chad,Chad,Humanitarian Assistance,"Protection, Assistance and Solutions"," $14,360,320.00 ",14360320,14360320
2009,2,Disbursements,Economic Support Fund, USAID ,Cyprus,Cyprus,Peace and Security,Conflict Mitigation and Reconciliation," $(3,111,310.37)",-3111310.37,-3111310.37
2013,3,Disbursements,N/A,usaid,Kosovo,Kosovo,Economic Development,Private Sector Competitiveness," $1,547,331.99 ",1547331.99,1547331.99
2011,4,Disbursements,Global Health & Child Survival,U.S.A.I.D,Turkmenistan,Turkmenistan,Health,HIV/AIDS," $41,254.63 ",41254.63,41254.63
2009,2,Disbursements,Commodity Credit Corp Title II and III, USAID ,"USAID Democracy, Conflict and Humanitarian Assistance","Congo, Democratic Republic of",Humanitarian Assistance,"Protection, Assistance and Solutions"," $1,299,161.95 ",1299161.95,1299161.95
2012,1,Disbursements,Development Assistance,usaid,Zambia,Zambia,Econ. Dev.,Economic Opportunity," $62,632.00 ",62632,62632
2013,2,Obligations,N/A,usaid,Peru,Peru,Economic Development,Private Sector Competitiveness," $78,931.51 ",78931.51,78931.51
2011,3,Disbursements,Economic Support Fund,usaid,"USAID Democracy, Conflict and Humanitarian Assistance",Ecuador,Peace and Security,Conflict Mitigation and Reconciliation," $64,679.74 ",64679.74,64679.74
2011,1,Disbursements,Development Assistance,usaid,USAID Caribbean Regional,Caribbean Region,Economic Development,Economic Opportunity," $15,685.33 ",15685.33,15685.33
2012,1,Disbursements,N/A,U.S.A.I.D,Namibia,Namibia,Health,HIV/AIDS," $17,323.00 ",17323,17323
2011,4,Obligations,N/A, MCC ,Moldova,Moldova,Program Management,Direct Administrative Costs, $-   ,,
2011,2,Disbursements,Commodity Credit Corp Title II and III,usaid,"USAID Democracy, Conflict and Humanitarian Assistance",Tanzania,Humanitarian Assistance,"Protection, Assistance and Solutions"," $40,291.00 ",40291,40291
2012,4,Obligations,Development Assistance,usaid,Morocco,Morocco,Education and Social Services,Basic Education," $4,257,000.00 ",4257000,4257000
2012,3,Disbursements,Economic Support Fund,usaid,China,China,Education and Social Services,Higher Education," $111,153.74 ",111153.74,111153.74
2012,3,Disbursements,Development Assistance,usaid,Afghanistan,Afghanistan,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building," $152,678.48 ",152678.48,152678.48
2011,1,Obligations,Civilian Stabilization Initiative,usaid,"USAID Democracy, Conflict and Humanitarian Assistance",Worldwide,Program Management,Direct Administrative Costs," $2,957,433.57 ",2957433.57,2957433.57
2012,3,Disbursements,Development Credit Authority-Financ Acct,usaid,"USAID Economic Growth, Education and Environment",Colombia,Econ. Dev.,Financial Sector," $37,000.00 ",37000,37000
2012,2,Disbursements,Economic Support Fund,usaid,Iraq,Iraq,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building," $991,714.30 ",991714.3000000001,991714.3000000001
2010,2,Disbsmnt.,Development Assistance,usaid,USAID Africa Regional,Africa Region,Program Management,Monitoring and Evaluation," $296,512.87 ",296512.87,296512.87
2010,4,Obgl.,Global Health & Child Survival,U.S.A.I.D,USAID Global Health,Uganda,Health,Maternal and Child Health, $108.00 ,108,108
2013,4,Obligations,N/A, MCC ,Malawi,Malawi,Economic Development,Agriculture," $10,042,000.00 ",10042000,10042000
2013,4,Disbursements,Economic Support Fund,usaid,Nepal,Nepal,Program Management,Monitoring and Evaluation," $190,684.33 ",190684.33,190684.33
2014,2,Obligations,Economic Support Fund,usaid,Yemen,Yemen,Economic Development,Agriculture," $1,060,000.00 ",1060000,1060000
2009,4,Disbursements,Transition Initiatives, USAID ,"USAID Democracy, Conflict and Humanitarian Assistance",Worldwide,Program Management,Monitoring and Evaluation," $648,277.59 ",648277.59,648277.59
2010,3,Disbsmnt.,N/A, MCC ,Benin,Benin,Economic Development,Private Sector Competitiveness," $782,291.41 ",782291.41,782291.41
2010,4,Disbsmnt.,Development Assistance,usaid,Ethiopia,Ethiopia,Humanitarian Assistance,Disaster Readiness," $584,107.93 ",584107.9300000001,584107.9300000001
2013,1,Disbursements,N/A,U.S.A.I.D,Angola,Angola,Health,Other Public Health Threats," $15,690.00 ",15690,15690
2012,2,Disbursements,Economic Support Fund,usaid,Zimbabwe,Zimbabwe,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights," $503,493.52 ",503493.52,503493.52
2013,,Obligations,N/A,IAF,Costa Rica,Costa Rica,,Natural Resources and Biodiversity," $2,800.00 ",2800,2800
2009,2,Disbursements,Operating Expenses, USAID ,USAID East Africa Regional,Worldwide,Program Management,Direct Administrative Costs," $1,600,809.12 ",1600809.12,1600809.12
2009,2,Disbursements,Development Assistance, USAID ,Asia Middle East Regional,Asia Region,Peace and Security,Counterterrorism," $17,330.66 ",17330.66,17330.66
2011,3,Obligations,International Disaster Assistance,usaid,"USAID Democracy, Conflict and Humanitarian Assistance",Eastern European Region,Program Management,Direct Administrative Costs," $(23,080.33)",-23080.33,-23080.33
2010,3,Disbsmnt.,International Disaster Assistance,usaid,"USAID Democracy, Conflict and Humanitarian Assistance",Sri Lanka,Humanitarian Assistance,"Protection, Assistance and Solutions"," $2,847,492.76 ",2847492.76,2847492.76
2012,3,Disbursements,Economic Support Fund,usaid,Jordan,Jordan,"Democracy, Human Rights, and Governance",Civil Society," $392,208.38 ",392208.38,392208.38
2011,3,Obligations,Global Health & Child Survival,usaid,Uzbekistan,Uzbekistan,Program Management,Direct Administrative Costs," $55,274.28 ",55274.28,55274.28
2008,2,Disbursements,N/A, MCC ,Tanzania,Tanzania,Program Management,Direct Administrative Costs," $184,928.66 ",184928.66,184928.66
2011,4,Disbursements,"Assistance for Europe, Eurasia and Central Asia",usaid,Georgia,Georgia,Economic Development,Infrastructure," $2,138,725.72 ",2138725.72,2138725.72
2011,4,Obligations,Commodity Credit Corp Title II and III,usaid,"USAID Democracy, Conflict and Humanitarian Assistance",Mozambique,Humanitarian Assistance,"Protection, Assistance and Solutions"," $(1,345.00)",-1345,-1345
2011,2,Disbursements,N/A,usaid,Chad,Chad,Humanitarian Assistance,"Protection, Assistance and Solutions"," $4,138,300.00 ",4138300,4138300
2009,2,Obligations,Economic Support Fund, USAID ,West Bank and Gaza,West Bank and Gaza,Program Management,Monitoring and Evaluation," $(13,659.25)",-13659.25,-13659.25
2012,3,Disbursements,Economic Support Fund,usaid,Kenya,Kenya,"Democracy, Human Rights, and Governance",Good Governance," $304,091.87 ",304091.87,304091.87
2013,3,Disbursements,Development Credit Authority,usaid,Mozambique,Mozambique,Economic Development,Private Sector Competitiveness," $405,812.64 ",405812.64,405812.64
2009,3,Disbursements,Development Assistance, USAID ,Panama,Panama,ENVIRONMENT,Natural Resources and Biodiversity," $83,656.12 ",83656.12,83656.12
2010,2,Obgl.,Economic Support Fund,usaid,Afghanistan,Afghanistan,Peace and Security,Conflict Mitigation and Reconciliation, $-   ,,
2012,3,Disbursements,Development Assistance,usaid,Yemen,Yemen,Education and Social Services,Basic Education," $3,402,633.55 ",3402633.55,3402633.55
2008,4,Obligations,N/A, MCC ,Cape Verde,Cape Verde,multi-sector,Multi-Sector - Unspecified," $1,152,406.22 ",1152406.22,1152406.22
2010,4,Obgl.,Economic Support Fund,usaid,South Africa,South Africa,Education and Social Services,Social Services," $1,325,000.00 ",1325000,1325000
2013,3,Disbursements,Complex Crises Fund,usaid,Somalia,Somalia,Peace and Security,Conflict Mitigation and Reconciliation," $1,075,772.55 ",1075772.55,1075772.55
2011,2,Obligations,Development Assistance,usaid,Malawi,Malawi,Education and Social Services,Social Assistance," $90,000.00 ",90000,90000
2011,3,Obligations,Democracy Fund,usaid,"USAID Democracy, Conflict and Humanitarian Assistance",Ukraine,DRG,Political Competition and Consensus-Building," $600,000.00 ",600000,600000
2011,2,Obligations,Global Health & Child Survival,U.S.A.I.D,USAID Africa Regional,Africa Region,Health,Malaria," $43,011.00 ",43011,43011
2011,2,Obligations,Global Health & Child Survival,usaid,"USAID Democracy, Conflict and Humanitarian Assistance",Worldwide,Education and Social Services,Social Services," $1,065,483.22 ",1065483.22,1065483.22
2011,3,Disbursements,Economic Support Fund,usaid,Sierra Leone,Sierra Leone,ENVIRONMENT,Natural Resources and Biodiversity," $353,370.55 ",353370.55,353370.55
2010,4,Obgl.,Global Health & Child Survival,usaid,Senegal,Senegal,Program Management,Monitoring and Evaluation," $311,912.00 ",311912,311912
2009,4,Disbursements,Democracy Fund, USAID ,Iraq,Iraq,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building," $1,614,700.50 ",1614700.5,1614700.5
2010,4,Disbsmnt.,Development Assistance,usaid,Rwanda,Rwanda,Education and Social Services,Basic Education," $263,519.34 ",263519.34,263519.34
2010,4,Obgl.,Economic Support Fund,usaid,Lebanon,Lebanon,Program Management,Monitoring and Evaluation," $1,565,346.56 ",1565346.56,1565346.56
2010,2,Disbsmnt.,Global Health & Child Survival,U.S.A.I.D,Senegal,Senegal,Health,Malaria," $4,668,815.38 ",4668815.38,4668815.38
2013,4,Obligations,N/A,usaid,Africa Region,Africa Region,Education and Social Services,Basic Education," $1,000,000.00 ",1000000,1000000
2012,1,Disbursements,Economic Support Fund,usaid,Mongolia,Mongolia,Econ. Dev.,Economic Opportunity, $(757.00),-757,-757
2009,1,Disbursements,Development Assistance, USAID ,Cambodia,Cambodia,Economic Development,Private Sector Competitiveness," $234,535.38 ",234535.38,234535.38
2009,4,Obligations,N/A, MCC ,MCC - General Office,MCC - General Office,multi-sector,Multi-Sector - Unspecified," $1,856,593.02 ",1856593.02,1856593.02
2011,4,Obligations,N/A,usaid,Uganda,Uganda,Economic Development,Agriculture," $534,680.00 ",534680,534680
2012,2,Disbursements,Development Assistance,usaid,Peru,Peru,Econ. Dev.,Trade and Investment," $2,296,494.60 ",2296494.6,2296494.6
2011,2,Obligations,Global Health & Child Survival,U.S.A.I.D,Malawi,Malawi,Health,Family Planning and Reproductive Health," $75,000.00 ",75000,75000
2013,2,Obligations,Commodity Credit Corp Title II and III,usaid,Malawi,Malawi,Economic Development,Agriculture," $169,048.00 ",169048,169048
2012,1,Disbursements,Development Credit Authority,usaid,Angola,Angola,Econ. Dev.,Financial Sector," $5,617.69 ",5617.69,5617.69
2011,1,Obligations,Global Health & Child Survival,U.S.A.I.D,USAID Global Health,Worldwide,Health,Tuberculosis," $(6,191.20)",-6191.2,-6191.2
2010,1,Obgl.,N/A,PEACE CORPS,Benin,Benin,,Environment - General," $812,229.34 ",812229.34,812229.34
2011,4,Disbursements,Global Health & Child Survival,U.S.A.I.D,Peru,Peru,Health,Family Planning and Reproductive Health," $1,040,313.16 ",1040313.16,1040313.16
2013,2,Disbursements,N/A,usaid,Worldwide,Worldwide,Economic Development,Financial Sector," $248,280.39 ",248280.39,248280.39
2010,1,Disbsmnt.,Development Assistance,usaid,Swaziland,Swaziland,"Democracy, Human Rights, and Governance",Civil Society," $2,313.26 ",2313.26,2313.26
2012,3,Disbursements,Global Health & Child Survival,usaid,Indonesia,Indonesia,Program Management,Direct Administrative Costs," $150,504.13 ",150504.13,150504.13
2009,2,Disbursements,Economic Support Fund, USAID ,Mali,Mali,Peace and Security,Counterterrorism," $223,552.06 ",223552.06,223552.06
2013,2,Obligations,International Disaster Assistance,usaid,Ecuador,Ecuador,Program Management,Direct Administrative Costs," $(15,600.00)",-15600,-15600
2011,1,Disbursements,Economic Support Fund,usaid,Timor-Leste,Timor-Leste,DRG,Civil Society," $67,775.12 ",67775.12,67775.12
2009,4,Obligations,Global Health & Child Survival,U.S.A.I.D,Zimbabwe,Zimbabwe,Health,HIV/AIDS," $15,454,977.27 ",15454977.27,15454977.27
2013,1,Disbursements,N/A, MCC ,El Salvador,El Salvador,Program Management,Direct Administrative Costs," $1,024,135.30 ",1024135.3,1024135.3
2013,4,Obligations,N/A,usaid,Gabon,Gabon,"Democracy, Human Rights, and Governance",Civil Society," $40,000.00 ",40000,40000
2012,2,Disbursements,Development Assistance,usaid,"USAID Democracy, Conflict and Humanitarian Assistance",Egypt,Education and Social Services,Higher Education," $324,864.08 ",324864.08,324864.08
2010,4,Disbsmnt.,Global Health & Child Survival,U.S.A.I.D,Mali,Mali,Health,HIV/AIDS," $889,161.79 ",889161.79,889161.79
2011,3,Disbursements,N/A,usaid,"Sudan, Pre-2011 Election","Sudan, Pre-2011 Election",Humanitarian Assistance,"Protection, Assistance and Solutions"," $11,690,600.00 ",11690600,11690600
2012,2,Obligations,Development Assistance,usaid,"USAID Economic Growth, Education and Environment",Sri Lanka,Econ. Dev.,Trade and Investment," $(1,800.00)",-1800,-1800
2010,3,Disbsmnt.,"Assistance for Europe, Eurasia and Central Asia",usaid,Joint Eurasia Regional,Eurasia Region,Peace and Security,Stabilization Operations and Security Sector Reform," $196,518.00 ",196518,196518
2012,2,Disbursements,"Assistance for Europe, Eurasia and Central Asia",usaid,Tajikistan,Tajikistan,Education and Social Services,Basic Education," $286,041.60 ",286041.6,286041.6
2009,1,Disbursements,Development Assistance, USAID ,USAID East Africa Regional,East Africa Region,ENVIRONMENT,Clean Productive Environment," $50,488.77 ",50488.77,50488.77
2010,2,Disbsmnt.,Assist. For N.I.S Of Former Soviet Union,usaid,Joint Eurasia Regional,Ukraine,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building," $162,462.39 ",162462.39,162462.39
2011,4,Disbursements,Democracy Fund,usaid,"USAID Democracy, Conflict and Humanitarian Assistance",Uganda,DRG,Political Competition and Consensus-Building," $17,372.00 ",17372,17372
2007,4,Disbursements,N/A, MCC ,Burkina Faso,Burkina Faso,multi-sector,Multi-Sector - Unspecified," $613,597.62 ",613597.62,613597.62
2013,2,Disbursements,Global Health & Child Survival,U.S.A.I.D,Bangladesh,Bangladesh,Health,Maternal and Child Health," $11,573,091.69 ",11573091.69,11573091.69
2012,1,Disbursements,Economic Support Fund,usaid,Pakistan,Pakistan,"Democracy, Human Rights, and Governance",Civil Society," $118,452.18 ",118452.18,118452.18
