FiscalYear,QTR,FiscalYearType,Account,Agency,OperatingUnit,BenefitingCountry,Category,Sector,Amount,Spent,Spent2,notCountry
2011,3,Disbursements,"Assistance for Europe, Eurasia and Central Asia",USAID,Albania,Albania,"Democracy, Human Rights, And Governance",Good Governance," $270,967.59 ",270967.59,270967.59,0
2010,4,Obligations,Development Assistance,USAID,Asia Middle East Regional,Asia Region,Economic Development,Private Sector Competitiveness," $15,000.00 ",15000,15000,1
2012,3,Obligations,Unknown,MCC,Mozambique,Mozambique,Multi-Sector,Multi-Sector - Unspecified," $425,019.20 ",425019.2,425019.2,0
2012,1,Disbursements,Operating Expenses,USAID,USAID Administrative Costs,Worldwide,Program Management,Direct Administrative Costs," $33,260,918.59 ",33260918.59,33260918.59,0
2009,1,Disbursements,Development Assistance,USAID,Bangladesh,Bangladesh,Environment,Clean Productive Environment," $4,745.07 ",4745.07,4745.07,0
2010,4,Obligations,Operating Expenses,USAID,Namibia,Worldwide,Program Management,Direct Administrative Costs," $671,032.93 ",671032.9300000001,671032.9300000001,0
2013,1,Disbursements,Unknown,USAID,Benin,Benin,Education And Social Services,Basic Education," $1,260,668.85 ",1260668.85,1260668.85,0
2011,1,Disbursements,Assist. For N.I.S Of Former Soviet Union,USAID,Russia,Russia,Program Management,Direct Administrative Costs," $14,167.64 ",14167.64,14167.64,0
2010,3,Obligations,Development Assistance,USAID,India,India,Program Management,Direct Administrative Costs," $110,827.66 ",110827.66,110827.66,0
2012,3,Disbursements,Assist. For N.I.S Of Former Soviet Union,USAID,Armenia,Armenia,Health,Other Public Health Threats," $9,371.66 ",9371.66,9371.66,0
2009,4,Obligations,Operating Expenses,USAID,Nepal,Worldwide,Program Management,Direct Administrative Costs," $1,256,751.29 ",1256751.29,1256751.29,0
2014,2,Obligations,Unknown,USAID,Rwanda,Rwanda,Environment,Natural Resources and Biodiversity," $1,910,866.00 ",1910866,1910866,0
2011,4,Disbursements,Transition Initiatives,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Sri Lanka,Program Management,Direct Administrative Costs," $255,797.05 ",255797.05,255797.05,0
2010,4,Disbursements,Assist. For N.I.S Of Former Soviet Union,USAID,Russia,Russia,Peace And Security,Transnational Crime," $65,000.00 ",65000,65000,0
2009,4,Obligations,Global Health & Child Survival,USAID,El Salvador,El Salvador,Health,Maternal and Child Health," $1,782,000.00 ",1782000,1782000,0
2010,2,Disbursements,Assist. For N.I.S Of Former Soviet Union,USAID,Joint Eurasia Regional,Eurasia Region,"Democracy, Human Rights, And Governance",Good Governance," $1,832.54 ",1832.54,1832.54,1
2010,2,Disbursements,"Assistance for Europe, Eurasia and Central Asia",USAID,Tajikistan,Tajikistan,Program Management,Direct Administrative Costs," $251,475.63 ",251475.63,251475.63,0
2013,2,Obligations,Unknown,USAID,Morocco,Morocco,Economic Development,Private Sector Competitiveness," $45,000.00 ",45000,45000,0
2010,3,Disbursements,International Disaster Assistance,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Philippines,Humanitarian Assistance,"Protection, Assistance and Solutions"," $1,819,465.80 ",1819465.8,1819465.8,0
2012,2,Obligations,"Assistance for Europe, Eurasia and Central Asia",USAID,Ukraine,Ukraine,Economic Development,Private Sector Competitiveness," $1,426,011.00 ",1426011,1426011,0
2010,3,Obligations,Economic Support Fund,USAID,Sri Lanka,Sri Lanka,Program Management,Direct Administrative Costs," $1,000,000.00 ",1000000,1000000,0
2012,4,Obligations,Development Assistance,USAID,Mexico,Mexico,Economic Development,Economic Opportunity," $(10,643.23)",-10643.23,-10643.23,0
2012,2,Disbursements,Development Assistance,USAID,Colombia,Colombia,Program Management,Direct Administrative Costs," $16,425.84 ",16425.84,16425.84,0
2009,4,Obligations,Economic Support Fund,USAID,Pakistan,Pakistan,Health,Maternal and Child Health," $48,453,000.00 ",48453000,48453000,0
2013,1,Disbursements,Unknown,USAID,Central Africa Region Program for Environment,Central Africa Region Program for Environment,Program Management,Direct Administrative Costs," $195,131.33 ",195131.33,195131.33,1
2014,,Obligations,Unknown,IAF,Paraguay,Paraguay,Missing,Agriculture," $143,300.00 ",143300,143300,0
2014,2,Obligations,Global Health & Child Survival,USAID,Tanzania,Tanzania,Health,Maternal and Child Health," $2,000.00 ",2000,2000,0
2012,4,Disbursements,Development Assistance,USAID,Office of Innovation and Development Alliances (USAID),Worldwide,Program Management,Direct Administrative Costs," $577,072.35 ",577072.35,577072.35,0
2010,2,Obligations,Gifts and Donations,USAID,USAID West Africa Regional,West Africa Region,Education And Social Services,"Social Policies, Regulations, and Systems"," $174,595.50 ",174595.5,174595.5,1
2009,3,Obligations,International Disaster Assistance,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Central African Republic,Humanitarian Assistance,"Protection, Assistance and Solutions"," $49,997.25 ",49997.25,49997.25,0
2010,4,Disbursements,Unknown,USAID,Mozambique,Mozambique,Health,Water Supply and Sanitation," $799,119.18 ",799119.1800000001,799119.1800000001,0
2009,2,Disbursements,Gifts and Donations,USAID,Sri Lanka,Sri Lanka,Humanitarian Assistance,"Protection, Assistance and Solutions"," $267,306.91 ",267306.91,267306.91,0
2013,4,Disbursements,Commodity Credit Corp Title II and III,USAID,South Sudan,South Sudan,Humanitarian Assistance,"Protection, Assistance and Solutions"," $24,214,000.00 ",24214000,24214000,0
2014,2,Obligations,Economic Support Fund,USAID,Sudan,Sudan,Program Management,Direct Administrative Costs," $133,496.94 ",133496.94,133496.94,0
2010,4,Obligations,Economic Support Fund,USAID,Sri Lanka,Sri Lanka,Program Management,Monitoring and Evaluation," $1,000,000.00 ",1000000,1000000,0
2009,4,Disbursements,Development Assistance,USAID,"Sudan, Pre-2011 Election","Sudan, Pre-2011 Election","Democracy, Human Rights, And Governance",Good Governance," $757,021.64 ",757021.64,757021.64,0
2013,1,Disbursements,Unknown,USAID,Sri Lanka,Sri Lanka,Program Management,Monitoring and Evaluation," $1,988.94 ",1988.94,1988.94,0
2012,4,Obligations,Development Assistance,USAID,USAID Middle East Regional,South Asia Region,Peace And Security,Counterterrorism," $(970,216.72)",-970216.72,-970216.72,1
2011,1,Obligations,Gifts and Donations,USAID,Bangladesh,Bangladesh,Economic Development,Infrastructure," $213,095.00 ",213095,213095,0
2012,,Disbursements,Unknown,USADF,Cape Verde,Cape Verde,Missing,Trade and Investment," $12,249.56 ",12249.56,12249.56,0
2010,4,Disbursements,Economic Support Fund,USAID,"Sudan, Pre-2011 Election","Sudan, Pre-2011 Election",Health,Water Supply and Sanitation," $1,697,341.41 ",1697341.41,1697341.41,0
2013,3,Disbursements,Unknown,USAID,Albania,Albania,"Democracy, Human Rights, And Governance",Political Competition and Consensus-Building," $3,844.73 ",3844.73,3844.73,0
2012,3,Disbursements,Commodity Credit Corp Title II and III,USAID,"USAID Democracy, Conflict and Humanitarian Assistance","Congo, Democratic Republic of",Humanitarian Assistance,"Protection, Assistance and Solutions"," $3,082,971.70 ",3082971.7,3082971.7,0
2010,4,Disbursements,Development Assistance,USAID,Cameroon,Cameroon,Education And Social Services,Social Assistance," $49,670.32 ",49670.32,49670.32,0
2013,4,Disbursements,Global Health & Child Survival,USAID,Botswana,Botswana,Health,HIV/AIDS," $3,290,195.96 ",3290195.96,3290195.96,0
2011,3,Disbursements,Unknown,USAID,Madagascar,Madagascar,Economic Development,Agriculture," $1,436,170.00 ",1436170,1436170,0
2014,2,Disbursements,Economic Support Fund,USAID,Haiti,Haiti,"Democracy, Human Rights, And Governance",Political Competition and Consensus-Building," $888,665.00 ",888665,888665,0
2012,2,Disbursements,Economic Support Fund,USAID,Liberia,Liberia,Education And Social Services,Basic Education," $3,761,649.31 ",3761649.31,3761649.31,0
2009,2,Disbursements,Development Assistance,USAID,USAID Operating Expense,Worldwide,Economic Development,Private Sector Competitiveness, $535.62 ,535.62,535.62,0
2013,1,Obligations,Unknown,Peace Corps,Armenia,Armenia,Missing,Environment - General," $18,463.59 ",18463.59,18463.59,0
2011,2,Obligations,Commodity Credit Corp Title II and III,USAID,"USAID Economic Growth, Education and Environment",Worldwide,Economic Development,Agriculture, $-   ,,,0
2010,2,Disbursements,Economic Support Fund,USAID,Macedonia,Macedonia,"Democracy, Human Rights, And Governance",Civil Society," $21,259.00 ",21259,21259,0
2010,1,Disbursements,"Assistance for Europe, Eurasia and Central Asia",USAID,Georgia,Georgia,"Democracy, Human Rights, And Governance",Civil Society," $110,000.00 ",110000,110000,0
2013,4,Disbursements,Economic Support Fund,USAID,Indonesia,Indonesia,Environment,Clean Productive Environment," $7,066.00 ",7066,7066,0
2013,2,Disbursements,Unknown,USAID,Tajikistan,Tajikistan,Health,Maternal and Child Health," $97,465.92 ",97465.92,97465.92,0
2013,3,Disbursements,Global Health & Child Survival,USAID,Kenya,Kenya,Health,Family Planning and Reproductive Health," $9,509,880.12 ",9509880.119999999,9509880.119999999,0
2012,3,Disbursements,Development Assistance,USAID,Mozambique,Mozambique,Economic Development,Trade and Investment," $10,420.68 ",10420.68,10420.68,0
2013,,Disbursements,Unknown,USADF,Ghana,Ghana,Missing,Agriculture," $1,616.16 ",1616.16,1616.16,0
2012,3,Disbursements,Global Health & Child Survival,USAID,Bolivia,Bolivia,Health,Family Planning and Reproductive Health," $721,102.76 ",721102.76,721102.76,0
2014,2,Disbursements,Gifts and Donations,USAID,Uganda,Uganda,Health,Family Planning and Reproductive Health," $6,128,287.50 ",6128287.5,6128287.5,0
2011,3,Disbursements,Child Survival and Health Programs Fund,USAID,Rwanda,Rwanda,Program Management,Monitoring and Evaluation, $(18.23),-18.23,-18.23,0
2013,4,Disbursements,Economic Support Fund,USAID,Worldwide,Worldwide,"Democracy, Human Rights, And Governance",Political Competition and Consensus-Building," $154,674.63 ",154674.63,154674.63,0
2012,2,Obligations,Unknown,DOS,Mexico,Mexico,Missing,Multi-Sector - Unspecified," $4,140,362.63 ",4140362.63,4140362.63,0
2010,,Disbursements,Unknown,IAF,Brazil,Brazil,Missing,Health - General," $94,500.00 ",94500,94500,0
2011,4,Disbursements,International Disaster Assistance,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Central African Republic,Humanitarian Assistance,"Protection, Assistance and Solutions"," $35,024.79 ",35024.79,35024.79,0
2009,3,Obligations,Unknown,MCC,Morocco,Morocco,Multi-Sector,Multi-Sector - Unspecified," $2,156,607.01 ",2156607.01,2156607.01,0
2012,4,Disbursements,Development Assistance,USAID,USAID Africa Regional,Africa Region,Economic Development,Trade and Investment," $138,378.39 ",138378.39,138378.39,1
2014,,Disbursements,Unknown,DOD,Denmark,Denmark,Peace And Security,Counterterrorism," $2,868.00 ",2868,2868,0
2013,1,Disbursements,Global Health & Child Survival,USAID,Mozambique,Mozambique,Health,Maternal and Child Health," $3,261,166.75 ",3261166.75,3261166.75,0
2009,4,Disbursements,Development Assistance,USAID,Philippines,Philippines,"Democracy, Human Rights, And Governance",Good Governance," $317,799.97 ",317799.97,317799.97,0
2009,3,Disbursements,Assist. For N.I.S Of Former Soviet Union,USAID,Russia,Russia,"Democracy, Human Rights, And Governance",Civil Society," $4,259,965.90 ",4259965.9,4259965.9,0
2009,1,Disbursements,Economic Support Fund,USAID,USAID Regional Development Mission-Asia,East Asia Region,Program Management,Direct Administrative Costs," $10,470.21 ",10470.21,10470.21,1
2013,1,Disbursements,Economic Support Fund,USAID,Jordan,Jordan,Health,Family Planning and Reproductive Health," $4,245,672.61 ",4245672.61,4245672.61,0
2010,1,Disbursements,Development Assistance,USAID,Asia Middle East Regional,Asia Region,"Democracy, Human Rights, And Governance",Civil Society," $68,694.62 ",68694.62,68694.62,1
2009,4,Obligations,Economic Support Fund,USAID,Timor-Leste,Timor-Leste,Program Management,Direct Administrative Costs," $71,831.21 ",71831.21000000001,71831.21000000001,0
2012,1,Disbursements,Global HIV/AIDS Initiative,USAID,USAID Global Health,Zimbabwe,Health,HIV/AIDS," $(1,759.94)",-1759.94,-1759.94,0
2010,4,Disbursements,Development Fund for Africa,USAID,USAID Africa Regional,Africa Region,Economic Development,Agriculture," $6,209.76 ",6209.76,6209.76,1
2011,4,Disbursements,Unknown,USAID,Chad,Chad,Humanitarian Assistance,"Protection, Assistance and Solutions"," $14,360,320.00 ",14360320,14360320,0
2009,2,Disbursements,Economic Support Fund,USAID,Cyprus,Cyprus,Peace And Security,Conflict Mitigation and Reconciliation," $(3,111,310.37)",-3111310.37,-3111310.37,0
2013,3,Disbursements,Unknown,USAID,Kosovo,Kosovo,Economic Development,Private Sector Competitiveness," $1,547,331.99 ",1547331.99,1547331.99,0
2011,4,Disbursements,Global Health & Child Survival,USAID,Turkmenistan,Turkmenistan,Health,HIV/AIDS," $41,254.63 ",41254.63,41254.63,0
2009,2,Disbursements,Commodity Credit Corp Title II and III,USAID,"USAID Democracy, Conflict and Humanitarian Assistance","Congo, Democratic Republic of",Humanitarian Assistance,"Protection, Assistance and Solutions"," $1,299,161.95 ",1299161.95,1299161.95,0
2012,1,Disbursements,Development Assistance,USAID,Zambia,Zambia,Economic Development,Economic Opportunity," $62,632.00 ",62632,62632,0
2013,2,Obligations,Unknown,USAID,Peru,Peru,Economic Development,Private Sector Competitiveness," $78,931.51 ",78931.51,78931.51,0
2011,3,Disbursements,Economic Support Fund,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Ecuador,Peace And Security,Conflict Mitigation and Reconciliation," $64,679.74 ",64679.74,64679.74,0
2011,1,Disbursements,Development Assistance,USAID,USAID Caribbean Regional,Caribbean Region,Economic Development,Economic Opportunity," $15,685.33 ",15685.33,15685.33,1
2012,1,Disbursements,Unknown,USAID,Namibia,Namibia,Health,HIV/AIDS," $17,323.00 ",17323,17323,0
2011,4,Obligations,Unknown,MCC,Moldova,Moldova,Program Management,Direct Administrative Costs, $-   ,,,0
2011,2,Disbursements,Commodity Credit Corp Title II and III,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Tanzania,Humanitarian Assistance,"Protection, Assistance and Solutions"," $40,291.00 ",40291,40291,0
2012,4,Obligations,Development Assistance,USAID,Morocco,Morocco,Education And Social Services,Basic Education," $4,257,000.00 ",4257000,4257000,0
2012,3,Disbursements,Economic Support Fund,USAID,China,China,Education And Social Services,Higher Education," $111,153.74 ",111153.74,111153.74,0
2012,3,Disbursements,Development Assistance,USAID,Afghanistan,Afghanistan,"Democracy, Human Rights, And Governance",Political Competition and Consensus-Building," $152,678.48 ",152678.48,152678.48,0
2011,1,Obligations,Civilian Stabilization Initiative,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Worldwide,Program Management,Direct Administrative Costs," $2,957,433.57 ",2957433.57,2957433.57,0
2012,3,Disbursements,Development Credit Authority-Financ Acct,USAID,"USAID Economic Growth, Education and Environment",Colombia,Economic Development,Financial Sector," $37,000.00 ",37000,37000,0
2012,2,Disbursements,Economic Support Fund,USAID,Iraq,Iraq,"Democracy, Human Rights, And Governance",Political Competition and Consensus-Building," $991,714.30 ",991714.3000000001,991714.3000000001,0
2010,2,Disbursements,Development Assistance,USAID,USAID Africa Regional,Africa Region,Program Management,Monitoring and Evaluation," $296,512.87 ",296512.87,296512.87,1
2010,4,Obligations,Global Health & Child Survival,USAID,USAID Global Health,Uganda,Health,Maternal and Child Health, $108.00 ,108,108,0
2013,4,Obligations,Unknown,MCC,Malawi,Malawi,Economic Development,Agriculture," $10,042,000.00 ",10042000,10042000,0
2013,4,Disbursements,Economic Support Fund,USAID,Nepal,Nepal,Program Management,Monitoring and Evaluation," $190,684.33 ",190684.33,190684.33,0
2014,2,Obligations,Economic Support Fund,USAID,Yemen,Yemen,Economic Development,Agriculture," $1,060,000.00 ",1060000,1060000,0
2009,4,Disbursements,Transition Initiatives,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Worldwide,Program Management,Monitoring and Evaluation," $648,277.59 ",648277.59,648277.59,0
2010,3,Disbursements,Unknown,MCC,Benin,Benin,Economic Development,Private Sector Competitiveness," $782,291.41 ",782291.41,782291.41,0
2010,4,Disbursements,Development Assistance,USAID,Ethiopia,Ethiopia,Humanitarian Assistance,Disaster Readiness," $584,107.93 ",584107.9300000001,584107.9300000001,0
2013,1,Disbursements,Unknown,USAID,Angola,Angola,Health,Other Public Health Threats," $15,690.00 ",15690,15690,0
2012,2,Disbursements,Economic Support Fund,USAID,Zimbabwe,Zimbabwe,"Democracy, Human Rights, And Governance",Rule of Law and Human Rights," $503,493.52 ",503493.52,503493.52,0
2013,,Obligations,Unknown,IAF,Costa Rica,Costa Rica,Missing,Natural Resources and Biodiversity," $2,800.00 ",2800,2800,0
2009,2,Disbursements,Operating Expenses,USAID,USAID East Africa Regional,Worldwide,Program Management,Direct Administrative Costs," $1,600,809.12 ",1600809.12,1600809.12,0
2009,2,Disbursements,Development Assistance,USAID,Asia Middle East Regional,Asia Region,Peace And Security,Counterterrorism," $17,330.66 ",17330.66,17330.66,1
2011,3,Obligations,International Disaster Assistance,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Eastern European Region,Program Management,Direct Administrative Costs," $(23,080.33)",-23080.33,-23080.33,1
2010,3,Disbursements,International Disaster Assistance,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Sri Lanka,Humanitarian Assistance,"Protection, Assistance and Solutions"," $2,847,492.76 ",2847492.76,2847492.76,0
2012,3,Disbursements,Economic Support Fund,USAID,Jordan,Jordan,"Democracy, Human Rights, And Governance",Civil Society," $392,208.38 ",392208.38,392208.38,0
2011,3,Obligations,Global Health & Child Survival,USAID,Uzbekistan,Uzbekistan,Program Management,Direct Administrative Costs," $55,274.28 ",55274.28,55274.28,0
2008,2,Disbursements,Unknown,MCC,Tanzania,Tanzania,Program Management,Direct Administrative Costs," $184,928.66 ",184928.66,184928.66,0
2011,4,Disbursements,"Assistance for Europe, Eurasia and Central Asia",USAID,Georgia,Georgia,Economic Development,Infrastructure," $2,138,725.72 ",2138725.72,2138725.72,0
2011,4,Obligations,Commodity Credit Corp Title II and III,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Mozambique,Humanitarian Assistance,"Protection, Assistance and Solutions"," $(1,345.00)",-1345,-1345,0
2011,2,Disbursements,Unknown,USAID,Chad,Chad,Humanitarian Assistance,"Protection, Assistance and Solutions"," $4,138,300.00 ",4138300,4138300,0
2009,2,Obligations,Economic Support Fund,USAID,West Bank and Gaza,West Bank and Gaza,Program Management,Monitoring and Evaluation," $(13,659.25)",-13659.25,-13659.25,0
2012,3,Disbursements,Economic Support Fund,USAID,Kenya,Kenya,"Democracy, Human Rights, And Governance",Good Governance," $304,091.87 ",304091.87,304091.87,0
2013,3,Disbursements,Development Credit Authority,USAID,Mozambique,Mozambique,Economic Development,Private Sector Competitiveness," $405,812.64 ",405812.64,405812.64,0
2009,3,Disbursements,Development Assistance,USAID,Panama,Panama,Environment,Natural Resources and Biodiversity," $83,656.12 ",83656.12,83656.12,0
2010,2,Obligations,Economic Support Fund,USAID,Afghanistan,Afghanistan,Peace And Security,Conflict Mitigation and Reconciliation, $-   ,,,0
2012,3,Disbursements,Development Assistance,USAID,Yemen,Yemen,Education And Social Services,Basic Education," $3,402,633.55 ",3402633.55,3402633.55,0
2008,4,Obligations,Unknown,MCC,Cape Verde,Cape Verde,Multi-Sector,Multi-Sector - Unspecified," $1,152,406.22 ",1152406.22,1152406.22,0
2010,4,Obligations,Economic Support Fund,USAID,South Africa,South Africa,Education And Social Services,Social Services," $1,325,000.00 ",1325000,1325000,0
2013,3,Disbursements,Complex Crises Fund,USAID,Somalia,Somalia,Peace And Security,Conflict Mitigation and Reconciliation," $1,075,772.55 ",1075772.55,1075772.55,0
2011,2,Obligations,Development Assistance,USAID,Malawi,Malawi,Education And Social Services,Social Assistance," $90,000.00 ",90000,90000,0
2011,3,Obligations,Democracy Fund,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Ukraine,"Democracy, Human Rights, And Governance",Political Competition and Consensus-Building," $600,000.00 ",600000,600000,0
2011,2,Obligations,Global Health & Child Survival,USAID,USAID Africa Regional,Africa Region,Health,Malaria," $43,011.00 ",43011,43011,1
2011,2,Obligations,Global Health & Child Survival,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Worldwide,Education And Social Services,Social Services," $1,065,483.22 ",1065483.22,1065483.22,0
2011,3,Disbursements,Economic Support Fund,USAID,Sierra Leone,Sierra Leone,Environment,Natural Resources and Biodiversity," $353,370.55 ",353370.55,353370.55,0
2010,4,Obligations,Global Health & Child Survival,USAID,Senegal,Senegal,Program Management,Monitoring and Evaluation," $311,912.00 ",311912,311912,0
2009,4,Disbursements,Democracy Fund,USAID,Iraq,Iraq,"Democracy, Human Rights, And Governance",Political Competition and Consensus-Building," $1,614,700.50 ",1614700.5,1614700.5,0
2010,4,Disbursements,Development Assistance,USAID,Rwanda,Rwanda,Education And Social Services,Basic Education," $263,519.34 ",263519.34,263519.34,0
2010,4,Obligations,Economic Support Fund,USAID,Lebanon,Lebanon,Program Management,Monitoring and Evaluation," $1,565,346.56 ",1565346.56,1565346.56,0
2010,2,Disbursements,Global Health & Child Survival,USAID,Senegal,Senegal,Health,Malaria," $4,668,815.38 ",4668815.38,4668815.38,0
2013,4,Obligations,Unknown,USAID,Africa Region,Africa Region,Education And Social Services,Basic Education," $1,000,000.00 ",1000000,1000000,1
2012,1,Disbursements,Economic Support Fund,USAID,Mongolia,Mongolia,Economic Development,Economic Opportunity, $(757.00),-757,-757,0
2009,1,Disbursements,Development Assistance,USAID,Cambodia,Cambodia,Economic Development,Private Sector Competitiveness," $234,535.38 ",234535.38,234535.38,0
2009,4,Obligations,Unknown,MCC,MCC - General Office,MCC - General Office,Multi-Sector,Multi-Sector - Unspecified," $1,856,593.02 ",1856593.02,1856593.02,1
2011,4,Obligations,Unknown,USAID,Uganda,Uganda,Economic Development,Agriculture," $534,680.00 ",534680,534680,0
2012,2,Disbursements,Development Assistance,USAID,Peru,Peru,Economic Development,Trade and Investment," $2,296,494.60 ",2296494.6,2296494.6,0
2011,2,Obligations,Global Health & Child Survival,USAID,Malawi,Malawi,Health,Family Planning and Reproductive Health," $75,000.00 ",75000,75000,0
2013,2,Obligations,Commodity Credit Corp Title II and III,USAID,Malawi,Malawi,Economic Development,Agriculture," $169,048.00 ",169048,169048,0
2012,1,Disbursements,Development Credit Authority,USAID,Angola,Angola,Economic Development,Financial Sector," $5,617.69 ",5617.69,5617.69,0
2011,1,Obligations,Global Health & Child Survival,USAID,USAID Global Health,Worldwide,Health,Tuberculosis," $(6,191.20)",-6191.2,-6191.2,0
2010,1,Obligations,Unknown,Peace Corps,Benin,Benin,Missing,Environment - General," $812,229.34 ",812229.34,812229.34,0
2011,4,Disbursements,Global Health & Child Survival,USAID,Peru,Peru,Health,Family Planning and Reproductive Health," $1,040,313.16 ",1040313.16,1040313.16,0
2013,2,Disbursements,Unknown,USAID,Worldwide,Worldwide,Economic Development,Financial Sector," $248,280.39 ",248280.39,248280.39,0
2010,1,Disbursements,Development Assistance,USAID,Swaziland,Swaziland,"Democracy, Human Rights, And Governance",Civil Society," $2,313.26 ",2313.26,2313.26,0
2012,3,Disbursements,Global Health & Child Survival,USAID,Indonesia,Indonesia,Program Management,Direct Administrative Costs," $150,504.13 ",150504.13,150504.13,0
2009,2,Disbursements,Economic Support Fund,USAID,Mali,Mali,Peace And Security,Counterterrorism," $223,552.06 ",223552.06,223552.06,0
2013,2,Obligations,International Disaster Assistance,USAID,Ecuador,Ecuador,Program Management,Direct Administrative Costs," $(15,600.00)",-15600,-15600,0
2011,1,Disbursements,Economic Support Fund,USAID,Timor-Leste,Timor-Leste,"Democracy, Human Rights, And Governance",Civil Society," $67,775.12 ",67775.12,67775.12,0
2009,4,Obligations,Global Health & Child Survival,USAID,Zimbabwe,Zimbabwe,Health,HIV/AIDS," $15,454,977.27 ",15454977.27,15454977.27,0
2013,1,Disbursements,Unknown,MCC,El Salvador,El Salvador,Program Management,Direct Administrative Costs," $1,024,135.30 ",1024135.3,1024135.3,0
2013,4,Obligations,Unknown,USAID,Gabon,Gabon,"Democracy, Human Rights, And Governance",Civil Society," $40,000.00 ",40000,40000,0
2012,2,Disbursements,Development Assistance,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Egypt,Education And Social Services,Higher Education," $324,864.08 ",324864.08,324864.08,0
2010,4,Disbursements,Global Health & Child Survival,USAID,Mali,Mali,Health,HIV/AIDS," $889,161.79 ",889161.79,889161.79,0
2011,3,Disbursements,Unknown,USAID,"Sudan, Pre-2011 Election","Sudan, Pre-2011 Election",Humanitarian Assistance,"Protection, Assistance and Solutions"," $11,690,600.00 ",11690600,11690600,0
2012,2,Obligations,Development Assistance,USAID,"USAID Economic Growth, Education and Environment",Sri Lanka,Economic Development,Trade and Investment," $(1,800.00)",-1800,-1800,0
2010,3,Disbursements,"Assistance for Europe, Eurasia and Central Asia",USAID,Joint Eurasia Regional,Eurasia Region,Peace And Security,Stabilization Operations and Security Sector Reform," $196,518.00 ",196518,196518,1
2012,2,Disbursements,"Assistance for Europe, Eurasia and Central Asia",USAID,Tajikistan,Tajikistan,Education And Social Services,Basic Education," $286,041.60 ",286041.6,286041.6,0
2009,1,Disbursements,Development Assistance,USAID,USAID East Africa Regional,East Africa Region,Environment,Clean Productive Environment," $50,488.77 ",50488.77,50488.77,1
2010,2,Disbursements,Assist. For N.I.S Of Former Soviet Union,USAID,Joint Eurasia Regional,Ukraine,"Democracy, Human Rights, And Governance",Political Competition and Consensus-Building," $162,462.39 ",162462.39,162462.39,0
2011,4,Disbursements,Democracy Fund,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Uganda,"Democracy, Human Rights, And Governance",Political Competition and Consensus-Building," $17,372.00 ",17372,17372,0
2007,4,Disbursements,Unknown,MCC,Burkina Faso,Burkina Faso,Multi-Sector,Multi-Sector - Unspecified," $613,597.62 ",613597.62,613597.62,0
2013,2,Disbursements,Global Health & Child Survival,USAID,Bangladesh,Bangladesh,Health,Maternal and Child Health," $11,573,091.69 ",11573091.69,11573091.69,0
2012,1,Disbursements,Economic Support Fund,USAID,Pakistan,Pakistan,"Democracy, Human Rights, And Governance",Civil Society," $118,452.18 ",118452.18,118452.18,0
2012,4,Disbursements,Global Health & Child Survival,USAID,USAID Latin America and Caribbean Regional,Latin America and Caribbean Region,Health,Maternal and Child Health," $436,374.25 ",436374.25,436374.25,1
2013,2,Disbursements,Unknown,USAID,Cambodia,Cambodia,Health,Other Public Health Threats," $39,655.95 ",39655.95,39655.95,0
2011,4,Disbursements,Unknown,MCC,Lesotho,Lesotho,"Democracy, Human Rights, And Governance",Rule of Law and Human Rights," $784,275.54 ",784275.54,784275.54,0
2009,3,Disbursements,Development Assistance,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Worldwide,Peace And Security,Conflict Mitigation and Reconciliation," $1,806,605.23 ",1806605.23,1806605.23,0
2009,4,Obligations,International Disaster Assistance,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Thailand,Program Management,Direct Administrative Costs," $7,691.87 ",7691.87,7691.87,0
2011,4,Disbursements,Economic Support Fund,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Burundi,Peace And Security,Conflict Mitigation and Reconciliation," $165,389.00 ",165389,165389,0
2013,1,Obligations,Global Health & Child Survival,USAID,Guatemala,Guatemala,Health,Family Planning and Reproductive Health," $189,333.00 ",189333,189333,0
2009,4,Disbursements,Economic Support Fund,USAID,Liberia,Liberia,"Democracy, Human Rights, And Governance",Rule of Law and Human Rights," $203,243.33 ",203243.33,203243.33,0
2011,4,Obligations,Global Health & Child Survival,USAID,Nicaragua,Nicaragua,Health,Family Planning and Reproductive Health," $860,605.00 ",860605,860605,0
2009,3,Disbursements,Assist. For N.I.S Of Former Soviet Union,USAID,USAID Central Asia Regional,Central Asia Region,Economic Development,Infrastructure," $59,211.75 ",59211.75,59211.75,1
