Planned,,,,,,,
,,,,,,,
Fiscal Year,Fiscal Year Type,Account Name,Agency Name,Operating Unit,Category,Sector, Amount 
2011,FY 2011 Actual Base,Economic Support Fund,DOS and USAID,West Bank and Gaza,"Democracy, Human Rights, and Governance",Good Governance," $10,149,000.00 "
2011,FY 2011 Actual Base,Economic Support Fund,DOS and USAID,West Bank and Gaza,Economic Development,Infrastructure," $11,400,000.00 "
2011,FY 2011 Actual Base,Economic Support Fund,DOS and USAID,West Bank and Gaza,Economic Development,Macroeconomic Foundation for Growth," $2,500,000.00 "
2011,FY 2011 Actual Base,Economic Support Fund,DOS and USAID,West Bank and Gaza,Health,Maternal and Child Health," $9,400,000.00 "
2011,FY 2011 Actual Base,Economic Support Fund,DOS and USAID,West Bank and Gaza,Health,Other Public Health Threats," $4,400,000.00 "
2011,FY 2011 Actual Base,Economic Support Fund,DOS and USAID,West Bank and Gaza,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building," $300,000.00 "
2011,FY 2011 Actual Base,Economic Support Fund,DOS and USAID,West Bank and Gaza,Economic Development,Private Sector Competitiveness," $4,500,000.00 "
2011,FY 2011 Actual Base,Economic Support Fund,DOS and USAID,West Bank and Gaza,Humanitarian Assistance,"Protection, Assistance and Solutions"," $43,200,000.00 "
2011,FY 2011 Actual Base,Economic Support Fund,DOS and USAID,West Bank and Gaza,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights," $4,800,000.00 "
2011,FY 2011 Actual Base,Economic Support Fund,DOS and USAID,West Bank and Gaza,Education and Social Services,Social Assistance," $222,730,000.00 "
2011,FY 2011 Actual Base,Economic Support Fund,DOS and USAID,West Bank and Gaza,Education and Social Services,Social Services," $6,800,000.00 "
2011,FY 2011 Actual Base,Economic Support Fund,DOS and USAID,West Bank and Gaza,Economic Development,Trade and Investment," $13,520,000.00 "
2011,FY 2011 Actual Base,Economic Support Fund,DOS and USAID,West Bank and Gaza,Health,Water Supply and Sanitation," $40,000,000.00 "
2011,FY 2011 Actual Base,Economic Support Fund,DOS and USAID,Western Hemisphere Regional Office (DOS),Education and Social Services,Basic Education," $4,829,000.00 "
2011,FY 2011 Actual Base,Economic Support Fund,DOS and USAID,Western Hemisphere Regional Office (DOS),Economic Development,Economic Opportunity," $2,500,000.00 "
2011,FY 2011 Actual Base,Economic Support Fund,DOS and USAID,Western Hemisphere Regional Office (DOS),Environment,Environment," $9,000,000.00 "
2011,FY 2011 Actual Base,Economic Support Fund,DOS and USAID,Western Hemisphere Regional Office (DOS),"Democracy, Human Rights, and Governance",Good Governance," $27,170,000.00 "
2011,FY 2011 Actual Base,Economic Support Fund,DOS and USAID,Western Hemisphere Regional Office (DOS),Economic Development,Infrastructure," $2,500,000.00 "
2011,FY 2011 Actual Base,Economic Support Fund,DOS and USAID,Western Hemisphere Regional Office (DOS),Economic Development,Private Sector Competitiveness," $4,858,000.00 "
2011,FY 2011 Actual Base,Economic Support Fund,DOS and USAID,Western Hemisphere Regional Office (DOS),"Democracy, Human Rights, and Governance",Rule of Law and Human Rights," $10,143,000.00 "
2011,FY 2011 Actual Base,Economic Support Fund,DOS and USAID,Western Hemisphere Regional Office (DOS),Education and Social Services,Social Assistance," $3,204,000.00 "
2011,FY 2011 Actual Base,Economic Support Fund,DOS and USAID,Western Hemisphere Regional Office (DOS),Economic Development,Trade and Investment," $12,500,000.00 "
2011,FY 2011 Actual Base,Economic Support Fund,DOS and USAID,Yemen,Economic Development,Agriculture," $4,560,000.00 "
2011,FY 2011 Actual Base,Economic Support Fund,DOS and USAID,Yemen,Education and Social Services,Basic Education," $12,000,000.00 "
2011,FY 2011 Actual Base,Economic Support Fund,DOS and USAID,Yemen,"Democracy, Human Rights, and Governance",Civil Society," $500,000.00 "
2011,FY 2011 Actual Base,Economic Support Fund,DOS and USAID,Yemen,Economic Development,Financial Sector," $1,000,000.00 "
2011,FY 2011 Actual Base,Economic Support Fund,DOS and USAID,Yemen,"Democracy, Human Rights, and Governance",Good Governance," $1,000,000.00 "
2011,FY 2011 Actual Base,Economic Support Fund,DOS and USAID,Yemen,Education and Social Services,Higher Education," $250,000.00 "
2011,FY 2011 Actual Base,Economic Support Fund,DOS and USAID,Yemen,Economic Development,Infrastructure," $500,000.00 "
2011,FY 2011 Actual Base,Economic Support Fund,DOS and USAID,Yemen,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building," $1,046,000.00 "
2011,FY 2011 Actual Base,Economic Support Fund,DOS and USAID,Yemen,Economic Development,Private Sector Competitiveness," $2,200,000.00 "
2011,FY 2011 Actual Base,Economic Support Fund,DOS and USAID,Yemen,Humanitarian Assistance,"Protection, Assistance and Solutions"," $2,550,000.00 "
2011,FY 2011 Actual Base,Economic Support Fund,DOS and USAID,Yemen,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights," $500,000.00 "
2011,FY 2011 Actual Base,Economic Support Fund,DOS and USAID,Yemen,Health,Water Supply and Sanitation," $500,000.00 "
2011,FY 2011 Actual Base,Economic Support Fund,DOS and USAID,Zimbabwe,Economic Development,Agriculture," $9,120,000.00 "
2011,FY 2011 Actual Base,Economic Support Fund,DOS and USAID,Zimbabwe,"Democracy, Human Rights, and Governance",Civil Society," $4,420,000.00 "
2011,FY 2011 Actual Base,Economic Support Fund,DOS and USAID,Zimbabwe,"Democracy, Human Rights, and Governance",Good Governance," $1,700,000.00 "
2011,FY 2011 Actual Base,Economic Support Fund,DOS and USAID,Zimbabwe,Economic Development,Macroeconomic Foundation for Growth," $2,458,000.00 "
2011,FY 2011 Actual Base,Economic Support Fund,DOS and USAID,Zimbabwe,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building," $2,780,000.00 "
2011,FY 2011 Actual Base,Economic Support Fund,DOS and USAID,Zimbabwe,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights," $5,100,000.00 "
2011,FY 2011 Actual Base,Emergency Refugee and Migration Assistance,DOS and USAID,"Bureau of Population, Refugees, and Migration (DOS)",Humanitarian Assistance,"Protection, Assistance and Solutions"," $49,900,000.00 "
2011,FY 2011 Actual Base,Food for Peace Title II,DOS and USAID,Afghanistan,Economic Development,Agriculture," $1,173,000.00 "
2011,FY 2011 Actual Base,Food for Peace Title II,DOS and USAID,Afghanistan,Humanitarian Assistance,Disaster Readiness," $586,000.00 "
2011,FY 2011 Actual Base,Food for Peace Title II,DOS and USAID,Afghanistan,Health,Maternal and Child Health," $1,877,000.00 "
2011,FY 2011 Actual Base,Food for Peace Title II,DOS and USAID,Afghanistan,Humanitarian Assistance,"Protection, Assistance and Solutions"," $108,913,000.00 "
2011,FY 2011 Actual Base,Food for Peace Title II,DOS and USAID,Algeria,Humanitarian Assistance,"Protection, Assistance and Solutions"," $8,232,000.00 "
2011,FY 2011 Actual Base,Food for Peace Title II,DOS and USAID,Bangladesh,Economic Development,Agriculture," $14,737,000.00 "
2011,FY 2011 Actual Base,Food for Peace Title II,DOS and USAID,Bangladesh,Humanitarian Assistance,Disaster Readiness," $3,930,000.00 "
2011,FY 2011 Actual Base,Food for Peace Title II,DOS and USAID,Bangladesh,Health,Nutrition," $17,685,000.00 "
2011,FY 2011 Actual Base,Food for Peace Title II,DOS and USAID,Bangladesh,Humanitarian Assistance,"Protection, Assistance and Solutions"," $1,791,000.00 "
2011,FY 2011 Actual Base,Food for Peace Title II,DOS and USAID,Bangladesh,Education and Social Services,Social Assistance," $983,000.00 "
2011,FY 2011 Actual Base,Food for Peace Title II,DOS and USAID,Bangladesh,Health,Water Supply and Sanitation," $3,930,000.00 "
2011,FY 2011 Actual Base,Food for Peace Title II,DOS and USAID,"Bureau for Democracy, Conflict, and Humanitarian Assistance (USAID)",Humanitarian Assistance,"Protection, Assistance and Solutions"," $(167,235,000.00)"
2011,FY 2011 Actual Base,Food for Peace Title II,DOS and USAID,"Bureau for Economic Growth, Agriculture and Trade (USAID)",Economic Development,Agriculture," $12,500,000.00 "
2011,FY 2011 Actual Base,Food for Peace Title II,DOS and USAID,Burkina Faso,Economic Development,Agriculture," $5,982,000.00 "
2011,FY 2011 Actual Base,Food for Peace Title II,DOS and USAID,Burkina Faso,Education and Social Services,Basic Education," $388,000.00 "
2011,FY 2011 Actual Base,Food for Peace Title II,DOS and USAID,Burkina Faso,Health,Nutrition," $5,282,000.00 "
2011,FY 2011 Actual Base,Food for Peace Title II,DOS and USAID,Burundi,Economic Development,Agriculture," $5,797,000.00 "
2011,FY 2011 Actual Base,Food for Peace Title II,DOS and USAID,Burundi,Health,Maternal and Child Health," $12,753,000.00 "
2011,FY 2011 Actual Base,Food for Peace Title II,DOS and USAID,Burundi,Humanitarian Assistance,"Protection, Assistance and Solutions"," $8,798,000.00 "
2011,FY 2011 Actual Base,Food for Peace Title II,DOS and USAID,Cameroon,Humanitarian Assistance,"Protection, Assistance and Solutions"," $1,930,000.00 "
2011,FY 2011 Actual Base,Food for Peace Title II,DOS and USAID,Central African Republic,Humanitarian Assistance,"Protection, Assistance and Solutions"," $6,775,000.00 "
2011,FY 2011 Actual Base,Food for Peace Title II,DOS and USAID,Chad,Economic Development,Agriculture," $3,035,000.00 "
2011,FY 2011 Actual Base,Food for Peace Title II,DOS and USAID,Chad,Health,Maternal and Child Health," $910,000.00 "
2011,FY 2011 Actual Base,Food for Peace Title II,DOS and USAID,Chad,Health,Nutrition," $850,000.00 "
2011,FY 2011 Actual Base,Food for Peace Title II,DOS and USAID,Chad,Humanitarian Assistance,"Protection, Assistance and Solutions"," $83,494,000.00 "
2011,FY 2011 Actual Base,Food for Peace Title II,DOS and USAID,Chad,Health,Water Supply and Sanitation," $1,275,000.00 "
2011,FY 2011 Actual Base,Food for Peace Title II,DOS and USAID,Colombia,Humanitarian Assistance,"Protection, Assistance and Solutions"," $10,443,000.00 "
2011,FY 2011 Actual Base,Food for Peace Title II,DOS and USAID,Cote d'Ivoire,Humanitarian Assistance,"Protection, Assistance and Solutions"," $4,718,000.00 "
2011,FY 2011 Actual Base,Food for Peace Title II,DOS and USAID,Democratic Republic of Congo,Economic Development,Agriculture," $23,891,000.00 "
2011,FY 2011 Actual Base,Food for Peace Title II,DOS and USAID,Democratic Republic of Congo,Health,Maternal and Child Health," $2,389,000.00 "
2011,FY 2011 Actual Base,Food for Peace Title II,DOS and USAID,Democratic Republic of Congo,Health,Nutrition," $1,792,000.00 "
2011,FY 2011 Actual Base,Food for Peace Title II,DOS and USAID,Democratic Republic of Congo,Humanitarian Assistance,"Protection, Assistance and Solutions"," $37,386,000.00 "
2011,FY 2011 Actual Base,Food for Peace Title II,DOS and USAID,Democratic Republic of Congo,Health,Water Supply and Sanitation," $1,792,000.00 "
2011,FY 2011 Actual Base,Food for Peace Title II,DOS and USAID,Djibouti,Humanitarian Assistance,"Protection, Assistance and Solutions"," $4,823,000.00 "
2011,FY 2011 Actual Base,Food for Peace Title II,DOS and USAID,Ecuador,Humanitarian Assistance,"Protection, Assistance and Solutions"," $1,585,000.00 "
2011,FY 2011 Actual Base,Food for Peace Title II,DOS and USAID,Ethiopia,Economic Development,Agriculture," $60,275,000.00 "
2011,FY 2011 Actual Base,Food for Peace Title II,DOS and USAID,Ethiopia,Environment,Environment," $19,443,000.00 "
2011,FY 2011 Actual Base,Food for Peace Title II,DOS and USAID,Ethiopia,Health,Nutrition," $11,666,000.00 "
2011,FY 2011 Actual Base,Food for Peace Title II,DOS and USAID,Ethiopia,Humanitarian Assistance,"Protection, Assistance and Solutions"," $207,450,000.00 "
2011,FY 2011 Actual Base,Food for Peace Title II,DOS and USAID,Ethiopia,Education and Social Services,Social Assistance," $5,833,000.00 "
2011,FY 2011 Actual Base,Food for Peace Title II,DOS and USAID,Guatemala,Economic Development,Agriculture," $6,383,000.00 "
2011,FY 2011 Actual Base,Food for Peace Title II,DOS and USAID,Guatemala,Health,Nutrition," $16,416,000.00 "
2011,FY 2011 Actual Base,Food for Peace Title II,DOS and USAID,Guatemala,Humanitarian Assistance,"Protection, Assistance and Solutions"," $15,286,000.00 "
2011,FY 2011 Actual Base,Food for Peace Title II,DOS and USAID,Haiti,Economic Development,Agriculture," $9,140,000.00 "
2011,FY 2011 Actual Base,Food for Peace Title II,DOS and USAID,Haiti,Education and Social Services,Basic Education," $3,055,000.00 "
2011,FY 2011 Actual Base,Food for Peace Title II,DOS and USAID,Haiti,Humanitarian Assistance,Disaster Readiness," $572,000.00 "
2011,FY 2011 Actual Base,Food for Peace Title II,DOS and USAID,Haiti,Health,Maternal and Child Health," $3,102,000.00 "
2011,FY 2011 Actual Base,Food for Peace Title II,DOS and USAID,Haiti,Health,Nutrition," $16,689,000.00 "
2011,FY 2011 Actual Base,Food for Peace Title II,DOS and USAID,Haiti,Humanitarian Assistance,"Protection, Assistance and Solutions"," $9,576,000.00 "
2011,FY 2011 Actual Base,Food for Peace Title II,DOS and USAID,Haiti,Education and Social Services,Social Assistance," $2,704,000.00 "
2011,FY 2011 Actual Base,Food for Peace Title II,DOS and USAID,India,Health,Maternal and Child Health," $914,000.00 "
2011,FY 2011 Actual Base,Food for Peace Title II,DOS and USAID,Kenya,Humanitarian Assistance,"Protection, Assistance and Solutions"," $124,776,000.00 "
2011,FY 2011 Actual Base,Food for Peace Title II,DOS and USAID,Laos,Humanitarian Assistance,"Protection, Assistance and Solutions"," $1,669,000.00 "
2011,FY 2011 Actual Base,Food for Peace Title II,DOS and USAID,Liberia,Economic Development,Agriculture," $6,813,000.00 "
2011,FY 2011 Actual Base,Food for Peace Title II,DOS and USAID,Liberia,Education and Social Services,Basic Education," $2,096,000.00 "
2011,FY 2011 Actual Base,Food for Peace Title II,DOS and USAID,Liberia,Health,Maternal and Child Health," $2,096,000.00 "
2011,FY 2011 Actual Base,Food for Peace Title II,DOS and USAID,Liberia,Health,Nutrition," $2,622,000.00 "
2011,FY 2011 Actual Base,Food for Peace Title II,DOS and USAID,Liberia,Humanitarian Assistance,"Protection, Assistance and Solutions"," $11,724,000.00 "
2011,FY 2011 Actual Base,Food for Peace Title II,DOS and USAID,Liberia,Health,Water Supply and Sanitation," $2,096,000.00 "
2011,FY 2011 Actual Base,Food for Peace Title II,DOS and USAID,Libya,Humanitarian Assistance,"Protection, Assistance and Solutions"," $5,654,000.00 "
2011,FY 2011 Actual Base,Food for Peace Title II,DOS and USAID,Madagascar,Economic Development,Agriculture," $6,505,000.00 "
2011,FY 2011 Actual Base,Food for Peace Title II,DOS and USAID,Madagascar,Humanitarian Assistance,Disaster Readiness," $4,734,000.00 "
2011,FY 2011 Actual Base,Food for Peace Title II,DOS and USAID,Madagascar,Economic Development,Infrastructure," $2,617,000.00 "
2011,FY 2011 Actual Base,Food for Peace Title II,DOS and USAID,Madagascar,Health,Maternal and Child Health," $1,040,000.00 "
2011,FY 2011 Actual Base,Food for Peace Title II,DOS and USAID,Madagascar,Health,Nutrition," $3,122,000.00 "
2011,FY 2011 Actual Base,Food for Peace Title II,DOS and USAID,Madagascar,Humanitarian Assistance,"Protection, Assistance and Solutions"," $2,676,000.00 "
2011,FY 2011 Actual Base,Food for Peace Title II,DOS and USAID,Madagascar,Education and Social Services,Social Assistance," $1,151,000.00 "
2011,FY 2011 Actual Base,Food for Peace Title II,DOS and USAID,Madagascar,Health,Water Supply and Sanitation," $1,087,000.00 "
2011,FY 2011 Actual Base,Food for Peace Title II,DOS and USAID,Malawi,Economic Development,Agriculture," $9,328,000.00 "
2011,FY 2011 Actual Base,Food for Peace Title II,DOS and USAID,Malawi,Health,Maternal and Child Health," $1,036,000.00 "
2011,FY 2011 Actual Base,Food for Peace Title II,DOS and USAID,Malawi,Health,Nutrition," $5,182,000.00 "
2011,FY 2011 Actual Base,Food for Peace Title II,DOS and USAID,Malawi,Education and Social Services,Social Assistance," $5,182,000.00 "
2011,FY 2011 Actual Base,Food for Peace Title II,DOS and USAID,Mali,Economic Development,Agriculture," $6,041,000.00 "
2011,FY 2011 Actual Base,Food for Peace Title II,DOS and USAID,Mali,Health,Maternal and Child Health," $4,028,000.00 "
2011,FY 2011 Actual Base,Food for Peace Title II,DOS and USAID,Mauritania,Economic Development,Economic Opportunity," $1,786,000.00 "
2011,FY 2011 Actual Base,Food for Peace Title II,DOS and USAID,Mauritania,Health,Maternal and Child Health," $919,000.00 "
2011,FY 2011 Actual Base,Food for Peace Title II,DOS and USAID,Mauritania,Health,Nutrition," $1,407,000.00 "
2011,FY 2011 Actual Base,Food for Peace Title II,DOS and USAID,Mauritania,Education and Social Services,Social Assistance," $946,000.00 "
2011,FY 2011 Actual Base,Food for Peace Title II,DOS and USAID,Mozambique,Economic Development,Agriculture," $10,225,000.00 "
2011,FY 2011 Actual Base,Food for Peace Title II,DOS and USAID,Mozambique,Health,Nutrition," $10,224,000.00 "
2011,FY 2011 Actual Base,Food for Peace Title II,DOS and USAID,Nepal,Humanitarian Assistance,"Protection, Assistance and Solutions"," $13,832,000.00 "
2011,FY 2011 Actual Base,Food for Peace Title II,DOS and USAID,Niger,Economic Development,Agriculture," $10,988,000.00 "
2011,FY 2011 Actual Base,Food for Peace Title II,DOS and USAID,Niger,Health,Maternal and Child Health," $2,353,000.00 "
2011,FY 2011 Actual Base,Food for Peace Title II,DOS and USAID,Niger,Health,Nutrition," $2,355,000.00 "
2011,FY 2011 Actual Base,Food for Peace Title II,DOS and USAID,Niger,Humanitarian Assistance,"Protection, Assistance and Solutions"," $33,783,000.00 "
2011,FY 2011 Actual Base,Food for Peace Title II,DOS and USAID,Pakistan,Humanitarian Assistance,"Protection, Assistance and Solutions"," $115,073,000.00 "
2011,FY 2011 Actual Base,Food for Peace Title II,DOS and USAID,Philippines,Humanitarian Assistance,"Protection, Assistance and Solutions"," $7,310,000.00 "
2011,FY 2011 Actual Base,Food for Peace Title II,DOS and USAID,Rwanda,Humanitarian Assistance,"Protection, Assistance and Solutions"," $6,058,000.00 "
2011,FY 2011 Actual Base,Food for Peace Title II,DOS and USAID,Sierra Leone,Economic Development,Agriculture," $5,954,000.00 "
2011,FY 2011 Actual Base,Food for Peace Title II,DOS and USAID,Sierra Leone,Health,Maternal and Child Health," $5,954,000.00 "
2011,FY 2011 Actual Base,Food for Peace Title II,DOS and USAID,Somalia,Humanitarian Assistance,"Protection, Assistance and Solutions"," $46,489,000.00 "
2011,FY 2011 Actual Base,Food for Peace Title II,DOS and USAID,South Sudan,Economic Development,Agriculture," $4,715,000.00 "
2011,FY 2011 Actual Base,Food for Peace Title II,DOS and USAID,South Sudan,Humanitarian Assistance,Disaster Readiness," $8,291,000.00 "
2011,FY 2011 Actual Base,Food for Peace Title II,DOS and USAID,South Sudan,Environment,Environment," $3,252,000.00 "
2011,FY 2011 Actual Base,Food for Peace Title II,DOS and USAID,South Sudan,Humanitarian Assistance,"Protection, Assistance and Solutions"," $38,376,000.00 "
2011,FY 2011 Actual Base,Food for Peace Title II,DOS and USAID,Sri Lanka,Humanitarian Assistance,"Protection, Assistance and Solutions"," $10,696,000.00 "
2011,FY 2011 Actual Base,Food for Peace Title II,DOS and USAID,Sudan,Humanitarian Assistance,"Protection, Assistance and Solutions"," $209,133,000.00 "
2011,FY 2011 Actual Base,Food for Peace Title II,DOS and USAID,Tanzania,Humanitarian Assistance,"Protection, Assistance and Solutions"," $7,876,000.00 "
2011,FY 2011 Actual Base,Food for Peace Title II,DOS and USAID,Uganda,Economic Development,Agriculture," $8,806,000.00 "
2011,FY 2011 Actual Base,Food for Peace Title II,DOS and USAID,Uganda,Health,Nutrition," $7,502,000.00 "
2011,FY 2011 Actual Base,Food for Peace Title II,DOS and USAID,Uganda,Humanitarian Assistance,"Protection, Assistance and Solutions"," $9,600,000.00 "
2011,FY 2011 Actual Base,Food for Peace Title II,DOS and USAID,West Bank and Gaza,Humanitarian Assistance,"Protection, Assistance and Solutions"," $4,429,000.00 "
2011,FY 2011 Actual Base,Food for Peace Title II,DOS and USAID,Yemen,Humanitarian Assistance,"Protection, Assistance and Solutions"," $20,013,000.00 "
2011,FY 2011 Actual Base,Food for Peace Title II,DOS and USAID,Zambia,Economic Development,Agriculture," $3,958,000.00 "
2011,FY 2011 Actual Base,Food for Peace Title II,DOS and USAID,Zambia,Humanitarian Assistance,Disaster Readiness," $396,000.00 "
2011,FY 2011 Actual Base,Food for Peace Title II,DOS and USAID,Zambia,Health,Nutrition," $1,254,000.00 "
2011,FY 2011 Actual Base,Food for Peace Title II,DOS and USAID,Zambia,Humanitarian Assistance,"Protection, Assistance and Solutions"," $990,000.00 "
2011,FY 2011 Actual Base,Food for Peace Title II,DOS and USAID,Zimbabwe,Humanitarian Assistance,"Protection, Assistance and Solutions"," $45,088,000.00 "
2011,FY 2011 Actual Base,Foreign Military Financing,DOS and USAID,Africa Regional Office (DOS),Peace and Security,Stabilization Operations and Security Sector Reform," $3,635,000.00 "
2011,FY 2011 Actual Base,Foreign Military Financing,DOS and USAID,Albania,Peace and Security,Stabilization Operations and Security Sector Reform," $3,992,000.00 "
2011,FY 2011 Actual Base,Foreign Military Financing,DOS and USAID,Armenia,Peace and Security,Stabilization Operations and Security Sector Reform," $2,994,000.00 "
2011,FY 2011 Actual Base,Foreign Military Financing,DOS and USAID,Azerbaijan,Peace and Security,Stabilization Operations and Security Sector Reform," $2,994,000.00 "
2011,FY 2011 Actual Base,Foreign Military Financing,DOS and USAID,Bahrain,Peace and Security,Stabilization Operations and Security Sector Reform," $15,461,000.00 "
2011,FY 2011 Actual Base,Foreign Military Financing,DOS and USAID,Bangladesh,Peace and Security,Stabilization Operations and Security Sector Reform," $2,957,000.00 "
2011,FY 2011 Actual Base,Foreign Military Financing,DOS and USAID,Belize,Peace and Security,Counter-Narcotics," $50,000.00 "
2011,FY 2011 Actual Base,Foreign Military Financing,DOS and USAID,Belize,Peace and Security,Stabilization Operations and Security Sector Reform," $125,000.00 "
2011,FY 2011 Actual Base,Foreign Military Financing,DOS and USAID,Belize,Peace and Security,Transnational Crime," $25,000.00 "
2011,FY 2011 Actual Base,Foreign Military Financing,DOS and USAID,Bosnia and Herzegovina,Peace and Security,Stabilization Operations and Security Sector Reform," $4,491,000.00 "
2011,FY 2011 Actual Base,Foreign Military Financing,DOS and USAID,Botswana,Peace and Security,Stabilization Operations and Security Sector Reform," $339,000.00 "
2011,FY 2011 Actual Base,Foreign Military Financing,DOS and USAID,Bulgaria,Peace and Security,Stabilization Operations and Security Sector Reform," $9,481,000.00 "
2011,FY 2011 Actual Base,Foreign Military Financing,DOS and USAID,Bureau of Political-Military Affairs (DOS),Peace and Security,Stabilization Operations and Security Sector Reform," $54,453,000.00 "
2011,FY 2011 Actual Base,Foreign Military Financing,DOS and USAID,Cambodia,Peace and Security,Stabilization Operations and Security Sector Reform," $748,000.00 "
2011,FY 2011 Actual Base,Foreign Military Financing,DOS and USAID,Chad,Peace and Security,Stabilization Operations and Security Sector Reform," $399,000.00 "
2011,FY 2011 Actual Base,Foreign Military Financing,DOS and USAID,Colombia,Peace and Security,Stabilization Operations and Security Sector Reform," $47,904,000.00 "
2011,FY 2011 Actual Base,Foreign Military Financing,DOS and USAID,Costa Rica,Peace and Security,Counter-Narcotics," $349,000.00 "
2011,FY 2011 Actual Base,Foreign Military Financing,DOS and USAID,Croatia,Peace and Security,Stabilization Operations and Security Sector Reform," $3,493,000.00 "
2011,FY 2011 Actual Base,Foreign Military Financing,DOS and USAID,Czech Republic,Peace and Security,Stabilization Operations and Security Sector Reform," $5,988,000.00 "
2011,FY 2011 Actual Base,Foreign Military Financing,DOS and USAID,Democratic Republic of Congo,Peace and Security,Stabilization Operations and Security Sector Reform," $300,000.00 "
2011,FY 2011 Actual Base,Foreign Military Financing,DOS and USAID,Djibouti,Peace and Security,Stabilization Operations and Security Sector Reform," $1,996,000.00 "
2011,FY 2011 Actual Base,Foreign Military Financing,DOS and USAID,Ecuador,Peace and Security,Stabilization Operations and Security Sector Reform," $499,000.00 "
2011,FY 2011 Actual Base,Foreign Military Financing,DOS and USAID,Egypt,Peace and Security,Stabilization Operations and Security Sector Reform," $1,297,400,000.00 "
2011,FY 2011 Actual Base,Foreign Military Financing,DOS and USAID,El Salvador,Peace and Security,Stabilization Operations and Security Sector Reform," $1,247,000.00 "
2011,FY 2011 Actual Base,Foreign Military Financing,DOS and USAID,Estonia,Peace and Security,Stabilization Operations and Security Sector Reform," $2,695,000.00 "
2011,FY 2011 Actual Base,Foreign Military Financing,DOS and USAID,Gabon,Peace and Security,Stabilization Operations and Security Sector Reform," $200,000.00 "
2011,FY 2011 Actual Base,Foreign Military Financing,DOS and USAID,Georgia,Peace and Security,Stabilization Operations and Security Sector Reform," $15,968,000.00 "
2011,FY 2011 Actual Base,Foreign Military Financing,DOS and USAID,Ghana,Peace and Security,Stabilization Operations and Security Sector Reform," $449,000.00 "
2011,FY 2011 Actual Base,Foreign Military Financing,DOS and USAID,Guatemala,Peace and Security,Stabilization Operations and Security Sector Reform," $499,000.00 "
2011,FY 2011 Actual Base,Foreign Military Financing,DOS and USAID,Haiti,Peace and Security,Stabilization Operations and Security Sector Reform," $1,597,000.00 "
2011,FY 2011 Actual Base,Foreign Military Financing,DOS and USAID,Honduras,Peace and Security,Stabilization Operations and Security Sector Reform," $998,000.00 "
2011,FY 2011 Actual Base,Foreign Military Financing,DOS and USAID,Hungary,Peace and Security,Stabilization Operations and Security Sector Reform," $998,000.00 "
2011,FY 2011 Actual Base,Foreign Military Financing,DOS and USAID,Indonesia,Peace and Security,Stabilization Operations and Security Sector Reform," $19,960,000.00 "
2011,FY 2011 Actual Base,Foreign Military Financing,DOS and USAID,Israel,Peace and Security,Stabilization Operations and Security Sector Reform," $2,994,000,000.00 "
2011,FY 2011 Actual Base,Foreign Military Financing,DOS and USAID,Jordan,Peace and Security,Combating Weapons of Mass Destruction (WMD)," $10,000,000.00 "
2011,FY 2011 Actual Base,Foreign Military Financing,DOS and USAID,Jordan,Peace and Security,Counterterrorism," $169,650,000.00 "
2011,FY 2011 Actual Base,Foreign Military Financing,DOS and USAID,Jordan,Peace and Security,Stabilization Operations and Security Sector Reform," $119,750,000.00 "
2011,FY 2011 Actual Base,Foreign Military Financing,DOS and USAID,Kazakhstan,Peace and Security,Stabilization Operations and Security Sector Reform," $2,395,000.00 "
2011,FY 2011 Actual Base,Foreign Military Financing,DOS and USAID,Kenya,Peace and Security,Stabilization Operations and Security Sector Reform," $998,000.00 "
2011,FY 2011 Actual Base,Foreign Military Financing,DOS and USAID,Kosovo,Peace and Security,Stabilization Operations and Security Sector Reform," $5,000,000.00 "
2011,FY 2011 Actual Base,Foreign Military Financing,DOS and USAID,Kyrgyz Republic,Peace and Security,Stabilization Operations and Security Sector Reform," $1,496,000.00 "
2011,FY 2011 Actual Base,Foreign Military Financing,DOS and USAID,Latvia,Peace and Security,Stabilization Operations and Security Sector Reform," $2,794,000.00 "
2011,FY 2011 Actual Base,Foreign Military Financing,DOS and USAID,Lebanon,Peace and Security,Counterterrorism," $15,000,000.00 "
2011,FY 2011 Actual Base,Foreign Military Financing,DOS and USAID,Lebanon,Peace and Security,Stabilization Operations and Security Sector Reform," $59,850,000.00 "
2011,FY 2011 Actual Base,Foreign Military Financing,DOS and USAID,Liberia,Peace and Security,Stabilization Operations and Security Sector Reform," $7,173,000.00 "
2011,FY 2011 Actual Base,Foreign Military Financing,DOS and USAID,Lithuania,Peace and Security,Stabilization Operations and Security Sector Reform," $2,994,000.00 "
2011,FY 2011 Actual Base,Foreign Military Financing,DOS and USAID,Macedonia,Peace and Security,Stabilization Operations and Security Sector Reform," $3,992,000.00 "
2011,FY 2011 Actual Base,Foreign Military Financing,DOS and USAID,Mali,Peace and Security,Stabilization Operations and Security Sector Reform," $200,000.00 "
2011,FY 2011 Actual Base,Foreign Military Financing,DOS and USAID,Malta,Peace and Security,Stabilization Operations and Security Sector Reform," $399,000.00 "
