FiscalYear,QTR,FiscalYearType,Account,Agency,OperatingUnit,BenefitingCountry,Category,Sector,Amount,Spent,Spent2
2012,4,Disbursements,N/A,usaid,Madagascar,Madagascar,Econ. Dev.,Agriculture," $768,730.00 ",768730,768730
2012,4,Disbursements,Economic Support Fund,usaid,USAID Operating Expense,Worldwide,Peace and Security,Counter-Narcotics, $467.44 ,467.44,467.44
2013,1,Disbursements,N/A,MCC,Georgia,Georgia,multi-sector,Multi-Sector - Unspecified," $388,001.88 ",388001.88,388001.88
2009,2,Disbursements,Economic Support Fund, USAID,USAID Central America Regional,Central American Region,ENVIRONMENT,Natural Resources and Biodiversity," $23,868.59 ",23868.59,23868.59
2011,3,Disbursements,International Disaster Assistance,usaid,"USAID Democracy, Conflict and Humanitarian Assistance",East Africa Region,Program Management,Direct Administrative Costs," $368,506.09 ",368506.09,368506.09
2013,2,Disbursements,Transition Initiatives,usaid,"Sudan, Pre-2011 Election","Sudan, Pre-2011 Election",Peace and Security,Conflict Mitigation and Reconciliation," $71,028.33 ",71028.33,71028.33
2010,2,Disbsmnt.,Global Health & Child Survival,U.S.A.I.D,Namibia,Namibia,Health,HIV/AIDS," $8,635,496.44 ",8635496.44,8635496.44
2011,2,Disbursements,Global HIV/AIDS Initiative,U.S.A.I.D,Kenya,Kenya,Health,HIV/AIDS," $3,146,155.73 ",3146155.73,3146155.73
2010,,Disbsmnt.,N/A,USADF,Zambia,Zambia,,Agriculture," $795,528.53 ",795528.53,795528.53
2013,2,Obligations,Global Health & Child Survival,U.S.A.I.D,Guatemala,Guatemala,Health,Maternal and Child Health," $2,687,637.00 ",2687637,2687637
2011,2,Obligations,Economic Support Fund,usaid,Benin,Benin,Education and Social Services,"Social Policies, Regulations, and Systems"," $300,000.00 ",300000,300000
2012,1,Disbursements,Commodity Credit Corp Title II and III,usaid,"USAID Democracy, Conflict and Humanitarian Assistance",Uzbekistan,Humanitarian Assistance,"Protection, Assistance and Solutions"," $57,500.00 ",57500,57500
2011,4,Disbursements,IG Operating Expenses,usaid,Afghanistan,Worldwide,Program Management,Direct Administrative Costs," $(19,121.80)",-19121.8,-19121.8
2011,4,Obligations,Economic Support Fund,usaid,Pakistan,Pakistan,Program Management,Direct Administrative Costs," $(7,184,278.57)",-7184278.57,-7184278.57
2012,4,Disbursements,Economic Support Fund,usaid,Liberia,Liberia,Econ. Dev.,Agriculture," $994,144.40 ",994144.4,994144.4
2011,2,Disbursements,Democracy Fund,usaid,"USAID Democracy, Conflict and Humanitarian Assistance",Uganda,DRG,Political Competition and Consensus-Building," $525,228.10 ",525228.1,525228.1
2011,1,Disbursements,Development Assistance,usaid,USAID East Africa Regional,East Africa Region,Economic Development,Private Sector Competitiveness," $100,000.00 ",100000,100000
2012,3,Obligations,Operating Expenses,usaid,South Sudan,Worldwide,Program Management,Direct Administrative Costs," $2,670,790.69 ",2670790.69,2670790.69
2012,1,Disbursements,Operating Expenses,usaid,Angola,Worldwide,Program Management,Direct Administrative Costs," $864,165.10 ",864165.1,864165.1
2012,3,Disbursements,Commodity Credit Corp Title II and III,usaid,"USAID Democracy, Conflict and Humanitarian Assistance",Sudan,Humanitarian Assistance,"Protection, Assistance and Solutions"," $112,012.33 ",112012.33,112012.33
2010,2,Disbsmnt.,Global Health & Child Survival,U.S.A.I.D,Ethiopia,Ethiopia,Health,Family Planning and Reproductive Health," $1,764,561.37 ",1764561.37,1764561.37
2011,1,Disbursements,N/A,MCC,Morocco,Morocco,Education and Social Services,Social Assistance," $17,701,603.37 ",17701603.37,17701603.37
2012,4,Disbursements,Development Assistance,usaid,"USAID Economic Growth, Education and Environment",Mozambique,Program Management,Monitoring and Evaluation," $2,499.80 ",2499.8,2499.8
2011,3,Disbursements,"Assistance for Europe, Eurasia and Central Asia",U.S.A.I.D,Tajikistan,Tajikistan,Health,Tuberculosis," $243,699.71 ",243699.71,243699.71
2010,4,Obgl.,Global Health & Child Survival,U.S.A.I.D,China,China,Health,HIV/AIDS," $4,123,040.68 ",4123040.68,4123040.68
2013,4,Disbursements,N/A,usaid,Brazil,Brazil,Program Management,Direct Administrative Costs," $364,657.14 ",364657.14,364657.14
2012,1,Disbursements,N/A,MCC,Burkina Faso,Burkina Faso,Econ. Dev.,Infrastructure," $508,267.73 ",508267.73,508267.73
2012,4,Obligations,"Assistance for Europe, Eurasia and Central Asia",usaid,Kazakhstan,Kazakhstan,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building," $219,455.00 ",219455,219455
2010,3,Disbsmnt.,Economic Support Fund,usaid,Pakistan,Pakistan,Education and Social Services,Higher Education," $45,161,353.66 ",45161353.66,45161353.66
2010,,Disbsmnt.,N/A,IAF,Argentina,Argentina,,Health - General," $50,253.00 ",50253,50253
2011,1,Disbursements,Global Health & Child Survival,usaid,"Sudan, Pre-2011 Election","Sudan, Pre-2011 Election",Program Management,Direct Administrative Costs," $72,334.96 ",72334.96000000001,72334.96000000001
2012,1,Obligations,Development Assistance,usaid,Timor-Leste,Timor-Leste,Econ. Dev.,Private Sector Competitiveness," $2,200,000.00 ",2200000,2200000
2013,1,Obligations,N/A,MCC,Burkina Faso,Burkina Faso,multi-sector,Multi-Sector - Unspecified," $866,882.48 ",866882.48,866882.48
2012,2,Disbursements,Development Assistance,usaid,South Africa,South Africa,Education and Social Services,Social Services," $293,788.71 ",293788.71,293788.71
2011,1,Disbursements,Development Assistance,usaid,Mozambique,Mozambique,DRG,Good Governance," $43,245.60 ",43245.6,43245.6
2012,1,Disbursements,"Assistance for Europe, Eurasia and Central Asia",usaid,Bosnia and Herzegovina,Bosnia and Herzegovina,Econ. Dev.,Agriculture," $216,875.05 ",216875.05,216875.05
2013,3,Disbursements,N/A,U.S.A.I.D,Ethiopia,Ethiopia,Health,Water Supply and Sanitation," $2,096,851.98 ",2096851.98,2096851.98
2011,2,Obligations,Development Credit Authority,usaid,USAID Operating Expense,Worldwide,Program Management,Direct Administrative Costs," $17,306.81 ",17306.81,17306.81
2011,4,Disbursements,Development Assistance,usaid,Bolivia,Bolivia,Economic Development,Private Sector Competitiveness," $602,727.46 ",602727.46,602727.46
2010,4,Disbsmnt.,International Disaster Assistance,usaid,"USAID Democracy, Conflict and Humanitarian Assistance",Bangladesh,Humanitarian Assistance,"Protection, Assistance and Solutions"," $521,186.34 ",521186.34,521186.34
2013,1,Disbursements,Economic Support Fund,U.S.A.I.D,Kenya,Kenya,Health,Other Public Health Threats," $400,000.00 ",400000,400000
2011,1,Obligations,N/A,MCC,Zambia,Zambia,multi-sector,Multi-Sector - Unspecified," $351,192.57 ",351192.57,351192.57
2013,4,Disbursements,Assist. For N.I.S Of Former Soviet Union,usaid,Georgia,Georgia,ENVIRONMENT,Natural Resources and Biodiversity," $32,273.38 ",32273.38,32273.38
2010,4,Obgl.,Global Health & Child Survival,U.S.A.I.D,USAID Operating Expense,Worldwide,Health,Family Planning and Reproductive Health, $166.78 ,166.78,166.78
2009,4,Disbursements,Development Fund for Africa, USAID,Zimbabwe,Zimbabwe,"Democracy, Human Rights, and Governance",Civil Society, $35.22 ,35.22,35.22
2010,3,Disbsmnt.,Economic Support Fund,usaid,Liberia,Liberia,Education and Social Services,Basic Education," $3,435,816.15 ",3435816.15,3435816.15
2009,3,Obligations,Economic Support Fund, USAID,"Congo, Democratic Republic of","Congo, Democratic Republic of",Program Management,Direct Administrative Costs," $110,453.45 ",110453.45,110453.45
2011,2,Obligations,Economic Support Fund,usaid,"Sudan, Pre-2011 Election","Sudan, Pre-2011 Election",Program Management,Direct Administrative Costs," $750,000.00 ",750000,750000
2013,1,Disbursements,N/A,usaid,Ukraine,Ukraine,"Democracy, Human Rights, and Governance",Civil Society," $1,899,492.54 ",1899492.54,1899492.54
2010,4,Disbsmnt.,Economic Support Fund,usaid,Timor-Leste,Timor-Leste,"Democracy, Human Rights, and Governance",Civil Society," $211,594.45 ",211594.45,211594.45
2011,4,Obligations,Economic Support Fund,usaid,Somalia,Somalia,Education and Social Services,Basic Education," $4,444,000.00 ",4444000,4444000
2014,1,Obligations,N/A,PEACE CORPS,Jamaica,Jamaica,,Health - General," $10,410.39 ",10410.39,10410.39
2007,40,Disbursements,N/A,MCC,Ghana,Ghana,Program Management,Direct Administrative Costs," $1,715,703.00 ",1715703,1715703
2011,1,Disbursements,Development Assistance,usaid,USAID Latin America and Caribbean Regional,Latin America and Caribbean Region,Economic Development,Agriculture," $241,779.89 ",241779.89,241779.89
2012,1,Disbursements,Global Health & Child Survival,U.S.A.I.D,Philippines,Philippines,Health,Maternal and Child Health," $400,910.60 ",400910.6,400910.6
2012,3,Disbursements,Child Survival and Health Programs Fund,U.S.A.I.D,Rwanda,Rwanda,Health,Malaria, $209.55 ,209.55,209.55
2012,3,Obligations,Development Assistance,usaid,USAID Office of Development Partners,East Asia Region,Program Management,Monitoring and Evaluation," $(4,961.29)",-4961.29,-4961.29
2013,4,Obligations,Global Health & Child Survival,U.S.A.I.D,Ethiopia,Ethiopia,Health,Family Planning and Reproductive Health," $3,995,536.00 ",3995536,3995536
2009,1,Disbursements,Development Assistance, USAID,Guyana,Guyana,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights," $13,667.43 ",13667.43,13667.43
2010,4,Disbsmnt.,Global Health & Child Survival,U.S.A.I.D,USAID Global Health,Mozambique,Health,Maternal and Child Health," $(3,728.00)",-3728,-3728
2012,4,Obligations,Global Health & Child Survival,U.S.A.I.D,Philippines,Philippines,Health,Tuberculosis," $10,711,736.00 ",10711736,10711736
2011,3,Obligations,Development Assistance,usaid,Bolivia,Bolivia,DRG,Civil Society, $(236.10),-236.1,-236.1
2011,1,Disbursements,Child Survival and Health Programs Fund,U.S.A.I.D,Mozambique,Mozambique,Health,Malaria," $4,835.02 ",4835.02,4835.02
2013,3,Disbursements,N/A,U.S.A.I.D,East Asia Region,East Asia Region,Health,Water Supply and Sanitation," $16,000.00 ",16000,16000
2013,4,Disbursements,N/A,U.S.A.I.D,Egypt,Egypt,Health,Water Supply and Sanitation," $76,384.98 ",76384.98,76384.98
2010,2,Disbsmnt.,Operating Expenses,usaid,USAID Operating Expense,Worldwide,Program Management,Direct Administrative Costs," $2,859,588.63 ",2859588.63,2859588.63
2011,1,Disbursements,Global Health & Child Survival,U.S.A.I.D,Guatemala,Guatemala,Health,HIV/AIDS," $138,575.69 ",138575.69,138575.69
2012,1,Disbursements,"Assistance for Europe, Eurasia and Central Asia",U.S.A.I.D,Tajikistan,Tajikistan,Health,Water Supply and Sanitation," $830,354.94 ",830354.9399999999,830354.9399999999
2010,2,Obgl.,Development Assistance,usaid,Zambia,Zambia,Education and Social Services,Social Assistance," $65,000.00 ",65000,65000
2009,4,Obligations,Development Credit Authority-Financ Acct, USAID,"USAID Economic Growth, Education and Environment",Worldwide,Economic Development,Financial Sector," $3,803,327.00 ",3803327,3803327
2012,2,Disbursements,Global Health & Child Survival,usaid,Nicaragua,Nicaragua,Program Management,Direct Administrative Costs," $34,920.83 ",34920.83,34920.83
2009,4,Disbursements,Child Survival and Health Programs Fund,U.S.A.I.D,"Sudan, Pre-2011 Election","Sudan, Pre-2011 Election",Health,Maternal and Child Health," $25,047.25 ",25047.25,25047.25
2011,1,Obligations,Development Assistance,usaid,Bangladesh,Bangladesh,DRG,Rule of Law and Human Rights," $(200,000.00)",-200000,-200000
2006,40,Disbursements,N/A,MCC,Honduras,Honduras,multi-sector,Multi-Sector - Unspecified," $136,936.78 ",136936.78,136936.78
2010,1,Disbsmnt.,Global Health & Child Survival,U.S.A.I.D,Tanzania,Tanzania,Health,HIV/AIDS," $22,555,557.97 ",22555557.97,22555557.97
2011,4,Obligations,"Assistance for Europe, Eurasia and Central Asia",usaid,Joint Eurasia Regional,Eurasia Region,Economic Development,Private Sector Competitiveness," $713,051.00 ",713051,713051
2009,3,Disbursements,Economic Support Fund, USAID,Sri Lanka,Sri Lanka,Humanitarian Assistance,"Protection, Assistance and Solutions"," $659,305.39 ",659305.39,659305.39
2012,3,Obligations,Commodity Credit Corp Title II and III,usaid,"USAID Democracy, Conflict and Humanitarian Assistance",Madagascar,Humanitarian Assistance,"Protection, Assistance and Solutions"," $190,852.94 ",190852.94,190852.94
2009,3,Disbursements,Commodity Credit Corp Title II and III, USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Haiti,Humanitarian Assistance,"Protection, Assistance and Solutions"," $5,657,108.16 ",5657108.16,5657108.16
2013,2,Obligations,Global Health & Child Survival,usaid,South Africa Region,South Africa Region,Program Management,Direct Administrative Costs," $24,334.45 ",24334.45,24334.45
2012,4,Disbursements,Child Survival and Health Programs Fund,U.S.A.I.D,Swaziland,Swaziland,Health,HIV/AIDS," $304,069.86 ",304069.86,304069.86
2011,2,Disbursements,Economic Support Fund,usaid,USAID Central Asia Regional,South Asia Region,Economic Development,Private Sector Competitiveness," $45,359.69 ",45359.69,45359.69
2012,1,Disbursements,Global Health & Child Survival,U.S.A.I.D,Mali,Mali,Health,HIV/AIDS," $693,267.43 ",693267.4300000001,693267.4300000001
2009,4,Disbursements,Development Assistance, USAID,Haiti,Haiti,Peace and Security,Conflict Mitigation and Reconciliation," $1,535,737.10 ",1535737.1,1535737.1
2012,1,Disbursements,N/A,PEACE CORPS,Guatemala,Guatemala,,Environment - General," $474,301.21 ",474301.21,474301.21
2012,1,Disbursements,N/A,PEACE CORPS,Tanzania,Tanzania,,Education and Social Services - General," $1,678,551.51 ",1678551.51,1678551.51
2014,1,Disbursements,N/A,PEACE CORPS,Sierra Leone,Sierra Leone,,Education and Social Services - General," $383,486.04 ",383486.04,383486.04
2009,4,Disbursements,Development Assistance, USAID,Kenya,Kenya,Economic Development,Economic Opportunity," $267,744.61 ",267744.61,267744.61
2012,4,Disbursements,Development Assistance,usaid,"USAID Economic Growth, Education and Environment",East Asia Region,Program Management,Direct Administrative Costs," $177,731.85 ",177731.85,177731.85
2010,4,Obgl.,Economic Support Fund,usaid,Guatemala,Guatemala,"Democracy, Human Rights, and Governance",Good Governance," $2,052,783.54 ",2052783.54,2052783.54
2012,3,Disbursements,Development Assistance,usaid,"USAID Economic Growth, Education and Environment",Worldwide,Peace and Security,Transnational Crime," $22,692.67 ",22692.67,22692.67
2012,1,Disbursements,Development Assistance,usaid,Asia Middle East Regional,Asia Region,Education and Social Services,Higher Education, $(610.24),-610.24,-610.24
2011,2,Obligations,N/A,MCC,Mongolia,Mongolia,Program Management,Direct Administrative Costs," $(6,990,123.00)",-6990123,-6990123
2010,4,Disbsmnt.,"Assistance for Europe, Eurasia and Central Asia",usaid,Russia,Russia,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights," $1,176,445.48 ",1176445.48,1176445.48
2012,4,Obligations,Operating Expenses,usaid,Nicaragua,Worldwide,Program Management,Direct Administrative Costs," $498,477.29 ",498477.29,498477.29
2012,4,Obligations,Operating Expenses,usaid,"USAID Democracy, Conflict and Humanitarian Assistance",Worldwide,Program Management,Direct Administrative Costs," $5,340,253.07 ",5340253.07,5340253.07
2010,1,Obgl.,N/A,PEACE CORPS,Niger,Niger,,Economic Development - General," $1,040,415.05 ",1040415.05,1040415.05
2010,4,Disbsmnt.,Economic Support Fund,usaid,Afghanistan,Afghanistan,Peace and Security,Counter-Narcotics," $63,513,998.81 ",63513998.81,63513998.81
2009,3,Disbursements,Development Assistance, USAID,Zambia,Zambia,Economic Development,Trade and Investment," $302,955.30 ",302955.3,302955.3
2011,3,Disbursements,Global Health & Child Survival,U.S.A.I.D,El Salvador,El Salvador,Health,Family Planning and Reproductive Health," $332,561.79 ",332561.79,332561.79
2010,1,Disbsmnt.,Assist. For N.I.S Of Former Soviet Union,usaid,Kazakhstan,Kazakhstan,Economic Development,Economic Opportunity," $51,480.25 ",51480.25,51480.25
2010,1,Disbsmnt.,Development Assistance,usaid,"USAID Economic Growth, Education and Environment",Worldwide,ENVIRONMENT,Clean Productive Environment," $508,625.98 ",508625.98,508625.98
2013,2,Disbursements,N/A,U.S.A.I.D,Tajikistan,Tajikistan,Health,Maternal and Child Health," $97,465.92 ",97465.92,97465.92
2012,3,Disbursements,Economic Support Fund,usaid,"USAID Democracy, Conflict and Humanitarian Assistance",Somalia,Peace and Security,Conflict Mitigation and Reconciliation," $(25,208.16)",-25208.16,-25208.16
2009,4,Obligations,Economic Support Fund, USAID,"Sudan, Pre-2011 Election","Sudan, Pre-2011 Election",Economic Development,Private Sector Competitiveness," $2,080,000.00 ",2080000,2080000
2011,2,Disbursements,Economic Support Fund,usaid,Indonesia,Indonesia,Education and Social Services,Higher Education," $64,621.51 ",64621.51,64621.51
2012,2,Obligations,Child Survival and Health Programs Fund,U.S.A.I.D,USAID Latin America and Caribbean Regional,Latin America and Caribbean Region,Health,HIV/AIDS," $(3,855.30)",-3855.3,-3855.3
2010,3,Disbsmnt.,Economic Support Fund,usaid,West Bank and Gaza,West Bank and Gaza,Economic Development,Infrastructure," $26,893,485.56 ",26893485.56,26893485.56
2011,2,Disbursements,N/A,MCC,Nicaragua,Nicaragua,ENVIRONMENT,Clean Productive Environment," $28,283.80 ",28283.8,28283.8
2009,3,Disbursements,IG Operating Expenses, USAID,USAID Operating Expense,Worldwide,Program Management,Direct Administrative Costs," $7,223.20 ",7223.2,7223.2
20014,0,Disbursements,N/A,DoD,Morocco,Morocco,Peace and Security,Counterterrorism," $331,167.00 ",331167,331167
2013,,Disbursements,N/A,IAF,Ecuador,Ecuador,,Civil Society," $28,050.00 ",28050,28050
2010,4,Disbsmnt.,Economic Support Fund,usaid,Afghanistan,Afghanistan,Economic Development,Financial Sector," $4,298,580.04 ",4298580.04,4298580.04
2007,1,Disbursements,N/A,MCC,Philippines,Philippines,multi-sector,Multi-Sector - Unspecified," $1,068.00 ",1068,1068
2013,3,Obligations,N/A,usaid,Honduras,Honduras,Program Management,Direct Administrative Costs," $198,386.45 ",198386.45,198386.45
2009,2,Disbursements,Commodity Credit Corp Title II and III, USAID,"USAID Economic Growth, Education and Environment",Central African Republic,Economic Development,Agriculture," $125,044.41 ",125044.41,125044.41
2010,2,Obgl.,"Assistance for Europe, Eurasia and Central Asia",usaid,Armenia,Armenia,Economic Development,Trade and Investment," $232,397.00 ",232397,232397
2012,4,Obligations,Development Assistance,usaid,"USAID Economic Growth, Education and Environment",Haiti,ENVIRONMENT,Clean Productive Environment," $1,000,000.00 ",1000000,1000000
2011,3,Disbursements,International Disaster Assistance,usaid,"USAID Democracy, Conflict and Humanitarian Assistance",Haiti,Humanitarian Assistance,"Protection, Assistance and Solutions"," $44,229,851.08 ",44229851.08,44229851.08
2009,4,Disbursements,Child Survival and Health Programs Fund,U.S.A.I.D,Bangladesh,Bangladesh,Health,Family Planning and Reproductive Health," $28,621.50 ",28621.5,28621.5
2010,4,Disbsmnt.,Transition Initiatives,usaid,"USAID Democracy, Conflict and Humanitarian Assistance",Kenya,Peace and Security,Conflict Mitigation and Reconciliation," $3,339,073.56 ",3339073.56,3339073.56
2011,1,Obligations,Global Health & Child Survival,U.S.A.I.D,USAID Global Health,Indonesia,Health,Pandemic Influenza and Other Emerging Threats ," $(3,112.58)",-3112.58,-3112.58
2009,1,Obligations,Global HIV/AIDS Initiative,U.S.A.I.D,USAID Global Health,Tanzania,Health,HIV/AIDS," $1,200,000.00 ",1200000,1200000
2012,3,Obligations,International Disaster Assistance,usaid,"USAID Democracy, Conflict and Humanitarian Assistance",Zambia,Humanitarian Assistance,Disaster Readiness," $1,997,405.00 ",1997405,1997405
2011,1,Obligations,N/A,PEACE CORPS,Nicaragua,Nicaragua,,Multi-Sector - Unspecified," $155,017.29 ",155017.29,155017.29
2012,3,Disbursements,N/A,usaid,Yemen,Yemen,Humanitarian Assistance,"Protection, Assistance and Solutions"," $11,734,400.00 ",11734400,11734400
2011,2,Disbursements,Global HIV/AIDS Initiative,U.S.A.I.D,South Africa,South Africa,Health,HIV/AIDS," $1,727,132.81 ",1727132.81,1727132.81
2009,4,Obligations,Development Assistance,U.S.A.I.D,Philippines,Philippines,Health,Water Supply and Sanitation," $1,958,000.00 ",1958000,1958000
2011,4,Disbursements,International Disaster Assistance,usaid,"USAID Democracy, Conflict and Humanitarian Assistance",Madagascar,Humanitarian Assistance,Disaster Readiness," $18,126.36 ",18126.36,18126.36
2013,2,Disbursements,Global Health & Child Survival,U.S.A.I.D,India,India,Health,Maternal and Child Health," $3,104,905.42 ",3104905.42,3104905.42
2011,4,Disbursements,"Assistance for Europe, Eurasia and Central Asia",usaid,Georgia,Georgia,DRG,Political Competition and Consensus-Building," $910,823.79 ",910823.79,910823.79
2012,4,Obligations,Development Assistance,usaid,China,China,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights," $2,870,000.00 ",2870000,2870000
2009,4,Disbursements,Economic Support Fund, USAID,Pakistan,Pakistan,Economic Development,Trade and Investment," $38,902.40 ",38902.4,38902.4
2010,1,Obgl.,Special Assistance Initiatives,usaid,Romania,Romania,"Democracy, Human Rights, and Governance",Civil Society," $(2,052.62)",-2052.62,-2052.62
2011,3,Disbursements,Development Assistance,usaid,USAID East Africa Regional,East Africa Region,Economic Development,Financial Sector," $760,265.09 ",760265.09,760265.09
2013,4,Obligations,Economic Support Fund,usaid,Libya,Libya,Economic Development,Trade and Investment," $1,000,000.00 ",1000000,1000000
2009,4,Disbursements,Global Health & Child Survival,U.S.A.I.D,USAID Operating Expense,Worldwide,Health,Malaria, $161.92 ,161.92,161.92
2009,2,Disbursements,Global Health & Child Survival, USAID,Nicaragua,Nicaragua,Program Management,Direct Administrative Costs," $61,110.05 ",61110.05,61110.05
2013,3,Disbursements,Economic Support Fund,usaid,East Asia Region,East Asia Region,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights," $50,000.00 ",50000,50000
2009,1,Obligations,Child Survival and Health Programs Fund,U.S.A.I.D,USAID Operating Expense,Worldwide,Health,HIV/AIDS, $22.08 ,22.08,22.08
2010,4,Obgl.,Global Health & Child Survival,U.S.A.I.D,Dominican Republic,Dominican Republic,Health,Tuberculosis," $1,170,000.00 ",1170000,1170000
2009,2,Obligations,International Disaster Assistance, USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Zimbabwe,Humanitarian Assistance,"Protection, Assistance and Solutions"," $9,917,734.27 ",9917734.27,9917734.27
2010,4,Disbsmnt.,Economic Support Fund,usaid,Liberia,Liberia,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights," $606,551.54 ",606551.54,606551.54
2009,4,Disbursements,Global Health & Child Survival,U.S.A.I.D,Tajikistan,Tajikistan,Health,Tuberculosis," $23,550.50 ",23550.5,23550.5
2012,4,Obligations,Transition Initiatives,usaid,"USAID Democracy, Conflict and Humanitarian Assistance",Haiti,Program Management,Direct Administrative Costs," $308,131.20 ",308131.2,308131.2
2013,4,Obligations,International Disaster Assistance,usaid,Chad,Chad,Humanitarian Assistance,Disaster Readiness," $819,178.00 ",819178,819178
2010,2,Disbsmnt.,Development Assistance,usaid,"USAID Democracy, Conflict and Humanitarian Assistance",Philippines,Education and Social Services,Social Services," $77,834.65 ",77834.64999999999,77834.64999999999
2013,2,Disbursements,N/A,usaid,"Sudan, Pre-2011 Election","Sudan, Pre-2011 Election",Program Management,Direct Administrative Costs," $45,178.37 ",45178.37,45178.37
2012,1,Obligations,Operating Expenses,usaid,Jordan,Worldwide,Program Management,Direct Administrative Costs," $850,414.71 ",850414.71,850414.71
2010,4,Obgl.,Global HIV/AIDS Initiative,U.S.A.I.D,Ethiopia,Ethiopia,Health,HIV/AIDS, $(572.00),-572,-572
2013,2,Disbursements,Economic Support Fund,usaid,Jordan,Jordan,Economic Development,Private Sector Competitiveness," $3,826,504.56 ",3826504.56,3826504.56
2013,4,Obligations,N/A,usaid,Indonesia,Indonesia,Education and Social Services,Basic Education," $2,255,448.75 ",2255448.75,2255448.75
2013,4,Obligations,N/A,usaid,Uganda,Uganda,ENVIRONMENT,Environment," $(7,140.25)",-7140.25,-7140.25
2012,2,Obligations,Child Survival and Health Programs Fund,U.S.A.I.D,Bangladesh,Bangladesh,Health,Family Planning and Reproductive Health," $(195,960.93)",-195960.93,-195960.93
2012,4,Disbursements,Global Health & Child Survival,U.S.A.I.D,Kenya,Kenya,Health,Maternal and Child Health," $1,598,740.46 ",1598740.46,1598740.46
2010,3,Obgl.,N/A,MCC,Benin,Benin,Program Management,Direct Administrative Costs," $(1,238,375.00)",-1238375,-1238375
2011,4,Disbursements,"Assistance for Europe, Eurasia and Central Asia",U.S.A.I.D,Albania,Albania,Health,Family Planning and Reproductive Health," $168,806.53 ",168806.53,168806.53
2010,3,Obgl.,Development Assistance,U.S.A.I.D,Asia Middle East Regional,Asia Region,Health,Pandemic Influenza and Other Emerging Threats , $(34.00),-34,-34
2012,40,Obligations,N/A,MCC,Morocco,Morocco,Econ. Dev.,Private Sector Competitiveness," $(258,331.00)",-258331,-258331
2012,2,Disbursements,Operating Expenses,usaid,Sudan,Worldwide,Program Management,Direct Administrative Costs," $29,113.29 ",29113.29,29113.29
2009,3,Disbursements,Development Assistance, USAID,Bangladesh,Bangladesh,"Democracy, Human Rights, and Governance",Civil Society," $594,656.72 ",594656.72,594656.72
2010,1,Obgl.,Operating Expenses,usaid,Morocco,Worldwide,Program Management,Direct Administrative Costs," $551,050.31 ",551050.3100000001,551050.3100000001
2013,2,Disbursements,N/A,usaid,Bangladesh,Bangladesh,Peace and Security,Transnational Crime," $271,638.89 ",271638.89,271638.89
2011,4,Disbursements,Assist. For N.I.S Of Former Soviet Union,usaid,Russia,Russia,DRG,Civil Society," $42,480.84 ",42480.84,42480.84
2010,4,Obgl.,Development Assistance,U.S.A.I.D,Honduras,Honduras,Health,Nutrition," $1,550,000.00 ",1550000,1550000
2012,1,Disbursements,Assist. For N.I.S Of Former Soviet Union,usaid,Armenia,Armenia,Program Management,Direct Administrative Costs," $3,058.79 ",3058.79,3058.79
2009,3,Obligations,Operating Expenses, USAID,Namibia,Worldwide,Program Management,Direct Administrative Costs," $419,108.99 ",419108.99,419108.99
2014,2,Obligations,N/A,usaid,Rwanda,Rwanda,Program Management,Monitoring and Evaluation," $13,668.32 ",13668.32,13668.32
2011,1,Disbursements,Transition Initiatives,usaid,"USAID Democracy, Conflict and Humanitarian Assistance",Sri Lanka,Program Management,Direct Administrative Costs," $183,321.50 ",183321.5,183321.5
2010,3,Disbsmnt.,Assist. For N.I.S Of Former Soviet Union,usaid,Russia,Russia,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building," $(38,727.07)",-38727.07,-38727.07
2009,4,Obligations,Global Health & Child Survival,U.S.A.I.D,Dominican Republic,Dominican Republic,Health,HIV/AIDS," $5,750,000.00 ",5750000,5750000
2010,1,Disbsmnt.,Assist. For N.I.S Of Former Soviet Union,usaid,Joint Eurasia Regional,Eurasia Region,ENVIRONMENT,Clean Productive Environment, $300.00 ,300,300
2010,3,Disbsmnt.,"Assistance for Europe, Eurasia and Central Asia",usaid,Tajikistan,Tajikistan,Education and Social Services,Basic Education," $354,783.66 ",354783.66,354783.66
2013,3,Obligations,N/A,usaid,Morocco,Morocco,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building," $1,248,000.00 ",1248000,1248000
2010,1,Disbsmnt.,International Disaster Assistance,usaid,"USAID Democracy, Conflict and Humanitarian Assistance",Philippines,Humanitarian Assistance,Disaster Readiness," $58,686.05 ",58686.05,58686.05
2012,2,Obligations,"Assistance for Europe, Eurasia and Central Asia",usaid,Ukraine,Ukraine,Program Management,Monitoring and Evaluation," $173,138.19 ",173138.19,173138.19
2010,1,Obgl.,Economic Support Fund,usaid,"Congo, Democratic Republic of","Congo, Democratic Republic of",Economic Development,Agriculture," $250,000.00 ",250000,250000
2012,2,Obligations,Development Assistance,U.S.A.I.D,Madagascar,Madagascar,Health,Water Supply and Sanitation," $1,050,000.00 ",1050000,1050000
